outer_fold,inner_fold,role,identity,family
2,4,test,B:W,naturalistic
2,4,train,A:E,simple
2,4,train,A:H,simple
2,4,train,A:P,simple
2,4,train,A:R,simple
2,4,train,B:B,naturalistic
2,4,train,B:C,naturalistic
2,4,train,B:K,naturalistic
2,4,train,B:T,naturalistic
3,0,test,A:E,simple
3,0,test,B:B,naturalistic
3,0,train,A:H,simple
3,0,train,A:L,simple
3,0,train,A:R,simple
3,0,train,A:V,simple
3,0,train,B:C,naturalistic
3,0,train,B:D,naturalistic
3,0,train,B:T,naturalistic
3,0,train,B:W,naturalistic
3,1,test,A:H,simple
3,1,test,B:C,naturalistic
3,1,train,A:E,simple
3,1,train,A:L,simple
3,1,train,A:R,simple
3,1,train,A:V,simple
3,1,train,B:B,naturalistic
3,1,train,B:D,naturalistic
3,1,train,B:T,naturalistic
3,1,train,B:W,naturalistic
3,2,test,A:L,simple
3,2,test,B:D,naturalistic
3,2,train,A:E,simple
3,2,train,A:H,simple
3,2,train,A:R,simple
3,2,train,A:V,simple
3,2,train,B:B,naturalistic
3,2,train,B:C,naturalistic
3,2,train,B:T,naturalistic
3,2,train,B:W,naturalistic
3,3,test,A:R,simple
3,3,test,B:T,naturalistic
3,3,train,A:E,simple
3,3,train,A:H,simple
3,3,train,A:L,simple
3,3,train,A:V,simple
3,3,train,B:B,naturalistic
3,3,train,B:C,naturalistic
3,3,train,B:D,naturalistic
3,3,train,B:W,naturalistic
3,4,test,A:V,simple
3,4,test,B:W,naturalistic
3,4,train,A:E,simple
3,4,train,A:H,simple
3,4,train,A:L,simple
3,4,train,A:R,simple
3,4,train,B:B,naturalistic
3,4,train,B:C,naturalistic
3,4,train,B:D,naturalistic
3,4,train,B:T,naturalistic
4,0,test,A:E,simple
4,0,test,B:B,naturalistic
4,0,train,A:H,simple
4,0,train,A:L,simple
4,0,train,A:P,simple
4,0,train,A:V,simple
4,0,train,B:C,naturalistic
4,0,train,B:D,naturalistic
4,0,train,B:K,naturalistic
4,0,train,B:W,naturalistic
4,1,test,A:H,simple
4,1,test,B:C,naturalistic
4,1,train,A:E,simple
4,1,train,A:L,simple
4,1,train,A:P,simple
4,1,train,A:V,simple
4,1,train,B:B,naturalistic
4,1,train,B:D,naturalistic
4,1,train,B:K,naturalistic
4,1,train,B:W,naturalistic
4,2,test,A:L,simple
4,2,test,B:D,naturalistic
4,2,train,A:E,simple
4,2,train,A:H,simple
4,2,train,A:P,simple
4,2,train,A:V,simple
4,2,train,B:B,naturalistic
4,2,train,B:C,naturalistic
4,2,train,B:K,naturalistic
4,2,train,B:W,naturalistic
4,3,test,A:P,simple
4,3,test,B:K,naturalistic
4,3,train,A:E,simple
4,3,train,A:H,simple
4,3,train,A:L,simple
4,3,train,A:V,simple
4,3,train,B:B,naturalistic
4,3,train,B:C,naturalistic
4,3,train,B:D,naturalistic
4,3,train,B:W,naturalistic
4,4,test,A:V,simple
4,4,test,B:W,naturalistic
4,4,train,A:E,simple
4,4,train,A:H,simple
4,4,train,A:L,simple
4,4,train,A:P,simple
4,4,train,B:B,naturalistic
4,4,train,B:C,naturalistic
4,4,train,B:D,naturalistic
4,4,train,B:K,naturalistic
5,0,test,A:E,simple
5,0,test,B:B,naturalistic
5,0,train,A:H,simple
5,0,train,A:L,simple
5,0,train,A:P,simple
5,0,train,A:R,simple
5,0,train,B:C,naturalistic
5,0,train,B:D,naturalistic
5,0,train,B:K,naturalistic
5,0,train,B:T,naturalistic
5,1,test,A:H,simple
5,1,test,B:C,naturalistic
5,1,train,A:E,simple
5,1,train,A:L,simple
5,1,train,A:P,simple
5,1,train,A:R,simple
5,1,train,B:B,naturalistic
5,1,train,B:D,naturalistic
5,1,train,B:K,naturalistic
5,1,train,B:T,naturalistic
5,2,test,A:L,simple
5,2,test,B:D,naturalistic
5,2,train,A:E,simple
5,2,train,A:H,simple
5,2,train,A:P,simple
5,2,train,A:R,simple
5,2,train,B:B,naturalistic
5,2,train,B:C,naturalistic
5,2,train,B:K,naturalistic
5,2,train,B:T,naturalistic
5,3,test,A:P,simple
5,3,test,B:K,naturalistic
5,3,train,A:E,simple
5,3,train,A:H,simple
5,3,train,A:L,simple
5,3,train,A:R,simple
5,3,train,B:B,naturalistic
5,3,train,B:C,naturalistic
5,3,train,B:D,naturalistic
5,3,train,B:T,naturalistic
5,4,test,A:R,simple
5,4,test,B:T,naturalistic
5,4,train,A:E,simple
5,4,train,A:H,simple
5,4,train,A:L,simple
5,4,train,A:P,simple
5,4,train,B:B,naturalistic
5,4,train,B:C,naturalistic
5,4,train,B:D,naturalistic
5,4,train,B:K,naturalistic
