split,row_index,query_nsd_id,gt_rank,bucket,anchor_nsd_id,confidence,strength,guidance_scale,steps
shared1000,304,24480,8,near_good,62683,0.03862285614013672,0.2884,3.17,48
shared1000,423,31446,7,near_good,39289,0.05603295564651489,0.2832,3.25,48
shared1000,464,34850,14,near_good,28689,0.07008057832717896,0.279,3.32,47
shared1000,696,51051,14,near_good,57650,0.023561477661132812,0.2929,3.11,49
shared1000,703,51521,7,near_good,19181,0.0023992061614990234,0.2993,3.01,49
shared1000,737,53728,6,near_good,51521,0.2402365803718567,0.2279,4.08,42
shared1000,887,64880,11,near_good,27972,0.08385986089706421,0.2748,3.38,47
shared1000,908,65943,10,near_good,37059,0.037219107151031494,0.2888,3.17,48
shared1000,78,7654,37,hard,13312,0.04207956790924072,0.2874,3.19,48
shared1000,126,10586,24,hard,49076,0.19131016731262207,0.2426,3.86,44
shared1000,351,26720,53,hard,10600,0.09161460399627686,0.2725,3.41,47
shared1000,442,32910,16,hard,52652,0.28614580631256104,0.2142,4.29,41
shared1000,722,52652,18,hard,48379,0.10244721174240112,0.2693,3.46,46
shared1000,796,57553,16,hard,26292,0.03645354509353638,0.2891,3.16,48
shared1000,888,64893,20,hard,10393,0.1171455979347229,0.2649,3.53,46
