target_subject,identity_fold,role_identity,identity,family
subj02,0,train,B:C,naturalistic
subj02,0,train,B:D,naturalistic
subj02,0,train,B:K,naturalistic
subj02,0,train,B:T,naturalistic
subj02,0,train,B:W,naturalistic
subj02,1,test,A:H,simple
subj02,1,test,B:C,naturalistic
subj02,1,train,A:E,simple
subj02,1,train,A:L,simple
subj02,1,train,A:P,simple
subj02,1,train,A:R,simple
subj02,1,train,A:V,simple
subj02,1,train,B:B,naturalistic
subj02,1,train,B:D,naturalistic
subj02,1,train,B:K,naturalistic
subj02,1,train,B:T,naturalistic
subj02,1,train,B:W,naturalistic
subj02,2,test,A:L,simple
subj02,2,test,B:D,naturalistic
subj02,2,train,A:E,simple
subj02,2,train,A:H,simple
subj02,2,train,A:P,simple
subj02,2,train,A:R,simple
subj02,2,train,A:V,simple
subj02,2,train,B:B,naturalistic
subj02,2,train,B:C,naturalistic
subj02,2,train,B:K,naturalistic
subj02,2,train,B:T,naturalistic
subj02,2,train,B:W,naturalistic
subj02,3,test,A:P,simple
subj02,3,test,B:K,naturalistic
subj02,3,train,A:E,simple
subj02,3,train,A:H,simple
subj02,3,train,A:L,simple
subj02,3,train,A:R,simple
subj02,3,train,A:V,simple
subj02,3,train,B:B,naturalistic
subj02,3,train,B:C,naturalistic
subj02,3,train,B:D,naturalistic
subj02,3,train,B:T,naturalistic
subj02,3,train,B:W,naturalistic
subj02,4,test,A:R,simple
subj02,4,test,B:T,naturalistic
subj02,4,train,A:E,simple
subj02,4,train,A:H,simple
subj02,4,train,A:L,simple
subj02,4,train,A:P,simple
subj02,4,train,A:V,simple
subj02,4,train,B:B,naturalistic
subj02,4,train,B:C,naturalistic
subj02,4,train,B:D,naturalistic
subj02,4,train,B:K,naturalistic
subj02,4,train,B:W,naturalistic
subj02,5,test,A:V,simple
subj02,5,test,B:W,naturalistic
subj02,5,train,A:E,simple
subj02,5,train,A:H,simple
subj02,5,train,A:L,simple
subj02,5,train,A:P,simple
subj02,5,train,A:R,simple
subj02,5,train,B:B,naturalistic
subj02,5,train,B:C,naturalistic
subj02,5,train,B:D,naturalistic
subj02,5,train,B:K,naturalistic
subj02,5,train,B:T,naturalistic
subj03,0,test,A:E,simple
subj03,0,test,B:B,naturalistic
subj03,0,train,A:H,simple
subj03,0,train,A:L,simple
subj03,0,train,A:P,simple
subj03,0,train,A:R,simple
subj03,0,train,A:V,simple
subj03,0,train,B:C,naturalistic
subj03,0,train,B:D,naturalistic
subj03,0,train,B:K,naturalistic
subj03,0,train,B:T,naturalistic
subj03,0,train,B:W,naturalistic
subj03,1,test,A:H,simple
subj03,1,test,B:C,naturalistic
subj03,1,train,A:E,simple
subj03,1,train,A:L,simple
subj03,1,train,A:P,simple
subj03,1,train,A:R,simple
subj03,1,train,A:V,simple
subj03,1,train,B:B,naturalistic
subj03,1,train,B:D,naturalistic
subj03,1,train,B:K,naturalistic
subj03,1,train,B:T,naturalistic
subj03,1,train,B:W,naturalistic
subj03,2,test,A:L,simple
subj03,2,test,B:D,naturalistic
subj03,2,train,A:E,simple
subj03,2,train,A:H,simple
subj03,2,train,A:P,simple
subj03,2,train,A:R,simple
subj03,2,train,A:V,simple
subj03,2,train,B:B,naturalistic
subj03,2,train,B:C,naturalistic
subj03,2,train,B:K,naturalistic
subj03,2,train,B:T,naturalistic
subj03,2,train,B:W,naturalistic
subj03,3,test,A:P,simple
subj03,3,test,B:K,naturalistic
subj03,3,train,A:E,simple
subj03,3,train,A:H,simple
subj03,3,train,A:L,simple
subj03,3,train,A:R,simple
subj03,3,train,A:V,simple
subj03,3,train,B:B,naturalistic
subj03,3,train,B:C,naturalistic
subj03,3,train,B:D,naturalistic
subj03,3,train,B:T,naturalistic
subj03,3,train,B:W,naturalistic
subj03,4,test,A:R,simple
subj03,4,test,B:T,naturalistic
subj03,4,train,A:E,simple
subj03,4,train,A:H,simple
subj03,4,train,A:L,simple
subj03,4,train,A:P,simple
subj03,4,train,A:V,simple
subj03,4,train,B:B,naturalistic
subj03,4,train,B:C,naturalistic
subj03,4,train,B:D,naturalistic
subj03,4,train,B:K,naturalistic
subj03,4,train,B:W,naturalistic
subj03,5,test,A:V,simple
subj03,5,test,B:W,naturalistic
subj03,5,train,A:E,simple
subj03,5,train,A:H,simple
subj03,5,train,A:L,simple
subj03,5,train,A:P,simple
subj03,5,train,A:R,simple
subj03,5,train,B:B,naturalistic
subj03,5,train,B:C,naturalistic
subj03,5,train,B:D,naturalistic
subj03,5,train,B:K,naturalistic
subj03,5,train,B:T,naturalistic
subj04,0,test,A:E,simple
subj04,0,test,B:B,naturalistic
subj04,0,train,A:H,simple
subj04,0,train,A:L,simple
subj04,0,train,A:P,simple
subj04,0,train,A:R,simple
subj04,0,train,A:V,simple
subj04,0,train,B:C,naturalistic
subj04,0,train,B:D,naturalistic
subj04,0,train,B:K,naturalistic
subj04,0,train,B:T,naturalistic
subj04,0,train,B:W,naturalistic
subj04,1,test,A:H,simple
subj04,1,test,B:C,naturalistic
subj04,1,train,A:E,simple
subj04,1,train,A:L,simple
subj04,1,train,A:P,simple
subj04,1,train,A:R,simple
subj04,1,train,A:V,simple
subj04,1,train,B:B,naturalistic
subj04,1,train,B:D,naturalistic
subj04,1,train,B:K,naturalistic
subj04,1,train,B:T,naturalistic
subj04,1,train,B:W,naturalistic
subj04,2,test,A:L,simple
subj04,2,test,B:D,naturalistic
subj04,2,train,A:E,simple
subj04,2,train,A:H,simple
subj04,2,train,A:P,simple
subj04,2,train,A:R,simple
subj04,2,train,A:V,simple
subj04,2,train,B:B,naturalistic
subj04,2,train,B:C,naturalistic
subj04,2,train,B:K,naturalistic
subj04,2,train,B:T,naturalistic
subj04,2,train,B:W,naturalistic
subj04,3,test,A:P,simple
subj04,3,test,B:K,naturalistic
subj04,3,train,A:E,simple
subj04,3,train,A:H,simple
subj04,3,train,A:L,simple
subj04,3,train,A:R,simple
subj04,3,train,A:V,simple
subj04,3,train,B:B,naturalistic
subj04,3,train,B:C,naturalistic
subj04,3,train,B:D,naturalistic
subj04,3,train,B:T,naturalistic
subj04,3,train,B:W,naturalistic
subj04,4,test,A:R,simple
subj04,4,test,B:T,naturalistic
subj04,4,train,A:E,simple
subj04,4,train,A:H,simple
subj04,4,train,A:L,simple
subj04,4,train,A:P,simple
subj04,4,train,A:V,simple
subj04,4,train,B:B,naturalistic
subj04,4,train,B:C,naturalistic
subj04,4,train,B:D,naturalistic
subj04,4,train,B:K,naturalistic
subj04,4,train,B:W,naturalistic
subj04,5,test,A:V,simple
subj04,5,test,B:W,naturalistic
subj04,5,train,A:E,simple
subj04,5,train,A:H,simple
subj04,5,train,A:L,simple
subj04,5,train,A:P,simple
subj04,5,train,A:R,simple
subj04,5,train,B:B,naturalistic
subj04,5,train,B:C,naturalistic
subj04,5,train,B:D,naturalistic
subj04,5,train,B:K,naturalistic
subj04,5,train,B:T,naturalistic
subj05,0,test,A:E,simple
subj05,0,test,B:B,naturalistic
subj05,0,train,A:H,simple
subj05,0,train,A:L,simple
subj05,0,train,A:P,simple
subj05,0,train,A:R,simple
subj05,0,train,A:V,simple
subj05,0,train,B:C,naturalistic
subj05,0,train,B:D,naturalistic
subj05,0,train,B:K,naturalistic
subj05,0,train,B:T,naturalistic
subj05,0,train,B:W,naturalistic
subj05,1,test,A:H,simple
subj05,1,test,B:C,naturalistic
subj05,1,train,A:E,simple
subj05,1,train,A:L,simple
subj05,1,train,A:P,simple
subj05,1,train,A:R,simple
subj05,1,train,A:V,simple
subj05,1,train,B:B,naturalistic
subj05,1,train,B:D,naturalistic
subj05,1,train,B:K,naturalistic
subj05,1,train,B:T,naturalistic
subj05,1,train,B:W,naturalistic
subj05,2,test,A:L,simple
subj05,2,test,B:D,naturalistic
subj05,2,train,A:E,simple
subj05,2,train,A:H,simple
subj05,2,train,A:P,simple
subj05,2,train,A:R,simple
subj05,2,train,A:V,simple
subj05,2,train,B:B,naturalistic
subj05,2,train,B:C,naturalistic
subj05,2,train,B:K,naturalistic
subj05,2,train,B:T,naturalistic
subj05,2,train,B:W,naturalistic
subj05,3,test,A:P,simple
subj05,3,test,B:K,naturalistic
subj05,3,train,A:E,simple
subj05,3,train,A:H,simple
subj05,3,train,A:L,simple
subj05,3,train,A:R,simple
subj05,3,train,A:V,simple
subj05,3,train,B:B,naturalistic
subj05,3,train,B:C,naturalistic
subj05,3,train,B:D,naturalistic
subj05,3,train,B:T,naturalistic
subj05,3,train,B:W,naturalistic
subj05,4,test,A:R,simple
subj05,4,test,B:T,naturalistic
subj05,4,train,A:E,simple
subj05,4,train,A:H,simple
subj05,4,train,A:L,simple
subj05,4,train,A:P,simple
subj05,4,train,A:V,simple
subj05,4,train,B:B,naturalistic
subj05,4,train,B:C,naturalistic
subj05,4,train,B:D,naturalistic
subj05,4,train,B:K,naturalistic
subj05,4,train,B:W,naturalistic
subj05,5,test,A:V,simple
subj05,5,test,B:W,naturalistic
subj05,5,train,A:E,simple
subj05,5,train,A:H,simple
subj05,5,train,A:L,simple
subj05,5,train,A:P,simple
subj05,5,train,A:R,simple
subj05,5,train,B:B,naturalistic
subj05,5,train,B:C,naturalistic
subj05,5,train,B:D,naturalistic
subj05,5,train,B:K,naturalistic
subj05,5,train,B:T,naturalistic
subj06,0,test,A:E,simple
subj06,0,test,B:B,naturalistic
subj06,0,train,A:H,simple
subj06,0,train,A:L,simple
subj06,0,train,A:P,simple
subj06,0,train,A:R,simple
subj06,0,train,A:V,simple
subj06,0,train,B:C,naturalistic
subj06,0,train,B:D,naturalistic
subj06,0,train,B:K,naturalistic
subj06,0,train,B:T,naturalistic
subj06,0,train,B:W,naturalistic
subj06,1,test,A:H,simple
subj06,1,test,B:C,naturalistic
subj06,1,train,A:E,simple
subj06,1,train,A:L,simple
subj06,1,train,A:P,simple
subj06,1,train,A:R,simple
subj06,1,train,A:V,simple
subj06,1,train,B:B,naturalistic
subj06,1,train,B:D,naturalistic
subj06,1,train,B:K,naturalistic
subj06,1,train,B:T,naturalistic
subj06,1,train,B:W,naturalistic
subj06,2,test,A:L,simple
subj06,2,test,B:D,naturalistic
subj06,2,train,A:E,simple
subj06,2,train,A:H,simple
subj06,2,train,A:P,simple
subj06,2,train,A:R,simple
subj06,2,train,A:V,simple
subj06,2,train,B:B,naturalistic
subj06,2,train,B:C,naturalistic
subj06,2,train,B:K,naturalistic
subj06,2,train,B:T,naturalistic
subj06,2,train,B:W,naturalistic
subj06,3,test,A:P,simple
subj06,3,test,B:K,naturalistic
subj06,3,train,A:E,simple
subj06,3,train,A:H,simple
subj06,3,train,A:L,simple
subj06,3,train,A:R,simple
subj06,3,train,A:V,simple
subj06,3,train,B:B,naturalistic
subj06,3,train,B:C,naturalistic
subj06,3,train,B:D,naturalistic
subj06,3,train,B:T,naturalistic
subj06,3,train,B:W,naturalistic
subj06,4,test,A:R,simple
subj06,4,test,B:T,naturalistic
subj06,4,train,A:E,simple
subj06,4,train,A:H,simple
subj06,4,train,A:L,simple
subj06,4,train,A:P,simple
subj06,4,train,A:V,simple
subj06,4,train,B:B,naturalistic
subj06,4,train,B:C,naturalistic
subj06,4,train,B:D,naturalistic
subj06,4,train,B:K,naturalistic
subj06,4,train,B:W,naturalistic
subj06,5,test,A:V,simple
subj06,5,test,B:W,naturalistic
subj06,5,train,A:E,simple
subj06,5,train,A:H,simple
subj06,5,train,A:L,simple
subj06,5,train,A:P,simple
subj06,5,train,A:R,simple
subj06,5,train,B:B,naturalistic
subj06,5,train,B:C,naturalistic
subj06,5,train,B:D,naturalistic
subj06,5,train,B:K,naturalistic
subj06,5,train,B:T,naturalistic
subj07,0,test,A:E,simple
subj07,0,test,B:B,naturalistic
subj07,0,train,A:H,simple
subj07,0,train,A:L,simple
subj07,0,train,A:P,simple
subj07,0,train,A:R,simple
subj07,0,train,A:V,simple
subj07,0,train,B:C,naturalistic
subj07,0,train,B:D,naturalistic
subj07,0,train,B:K,naturalistic
subj07,0,train,B:T,naturalistic
subj07,0,train,B:W,naturalistic
subj07,1,test,A:H,simple
subj07,1,test,B:C,naturalistic
subj07,1,train,A:E,simple
subj07,1,train,A:L,simple
subj07,1,train,A:P,simple
subj07,1,train,A:R,simple
subj07,1,train,A:V,simple
subj07,1,train,B:B,naturalistic
subj07,1,train,B:D,naturalistic
subj07,1,train,B:K,naturalistic
subj07,1,train,B:T,naturalistic
subj07,1,train,B:W,naturalistic
subj07,2,test,A:L,simple
subj07,2,test,B:D,naturalistic
subj07,2,train,A:E,simple
subj07,2,train,A:H,simple
subj07,2,train,A:P,simple
subj07,2,train,A:R,simple
subj07,2,train,A:V,simple
subj07,2,train,B:B,naturalistic
subj07,2,train,B:C,naturalistic
subj07,2,train,B:K,naturalistic
subj07,2,train,B:T,naturalistic
subj07,2,train,B:W,naturalistic
subj07,3,test,A:P,simple
subj07,3,test,B:K,naturalistic
subj07,3,train,A:E,simple
subj07,3,train,A:H,simple
subj07,3,train,A:L,simple
subj07,3,train,A:R,simple
subj07,3,train,A:V,simple
subj07,3,train,B:B,naturalistic
subj07,3,train,B:C,naturalistic
subj07,3,train,B:D,naturalistic
subj07,3,train,B:T,naturalistic
subj07,3,train,B:W,naturalistic
subj07,4,test,A:R,simple
subj07,4,test,B:T,naturalistic
subj07,4,train,A:E,simple
subj07,4,train,A:H,simple
subj07,4,train,A:L,simple
subj07,4,train,A:P,simple
subj07,4,train,A:V,simple
subj07,4,train,B:B,naturalistic
subj07,4,train,B:C,naturalistic
subj07,4,train,B:D,naturalistic
subj07,4,train,B:K,naturalistic
subj07,4,train,B:W,naturalistic
subj07,5,test,A:V,simple
subj07,5,test,B:W,naturalistic
subj07,5,train,A:E,simple
subj07,5,train,A:H,simple
subj07,5,train,A:L,simple
subj07,5,train,A:P,simple
subj07,5,train,A:R,simple
subj07,5,train,B:B,naturalistic
subj07,5,train,B:C,naturalistic
subj07,5,train,B:D,naturalistic
subj07,5,train,B:K,naturalistic
subj07,5,train,B:T,naturalistic
subj08,0,test,A:E,simple
subj08,0,test,B:B,naturalistic
subj08,0,train,A:H,simple
subj08,0,train,A:L,simple
subj08,0,train,A:P,simple
subj08,0,train,A:R,simple
subj08,0,train,A:V,simple
subj08,0,train,B:C,naturalistic
subj08,0,train,B:D,naturalistic
subj08,0,train,B:K,naturalistic
subj08,0,train,B:T,naturalistic
subj08,0,train,B:W,naturalistic
subj08,1,test,A:H,simple
subj08,1,test,B:C,naturalistic
subj08,1,train,A:E,simple
subj08,1,train,A:L,simple
subj08,1,train,A:P,simple
subj08,1,train,A:R,simple
subj08,1,train,A:V,simple
subj08,1,train,B:B,naturalistic
subj08,1,train,B:D,naturalistic
subj08,1,train,B:K,naturalistic
subj08,1,train,B:T,naturalistic
subj08,1,train,B:W,naturalistic
subj08,2,test,A:L,simple
subj08,2,test,B:D,naturalistic
subj08,2,train,A:E,simple
subj08,2,train,A:H,simple
subj08,2,train,A:P,simple
subj08,2,train,A:R,simple
subj08,2,train,A:V,simple
subj08,2,train,B:B,naturalistic
subj08,2,train,B:C,naturalistic
subj08,2,train,B:K,naturalistic
subj08,2,train,B:T,naturalistic
subj08,2,train,B:W,naturalistic
subj08,3,test,A:P,simple
subj08,3,test,B:K,naturalistic
subj08,3,train,A:E,simple
subj08,3,train,A:H,simple
subj08,3,train,A:L,simple
subj08,3,train,A:R,simple
subj08,3,train,A:V,simple
subj08,3,train,B:B,naturalistic
subj08,3,train,B:C,naturalistic
subj08,3,train,B:D,naturalistic
subj08,3,train,B:T,naturalistic
subj08,3,train,B:W,naturalistic
subj08,4,test,A:R,simple
subj08,4,test,B:T,naturalistic
subj08,4,train,A:E,simple
subj08,4,train,A:H,simple
subj08,4,train,A:L,simple
subj08,4,train,A:P,simple
subj08,4,train,A:V,simple
subj08,4,train,B:B,naturalistic
subj08,4,train,B:C,naturalistic
subj08,4,train,B:D,naturalistic
subj08,4,train,B:K,naturalistic
subj08,4,train,B:W,naturalistic
subj08,5,test,A:V,simple
subj08,5,test,B:W,naturalistic
subj08,5,train,A:E,simple
subj08,5,train,A:H,simple
subj08,5,train,A:L,simple
subj08,5,train,A:P,simple
subj08,5,train,A:R,simple
subj08,5,train,B:B,naturalistic
subj08,5,train,B:C,naturalistic
subj08,5,train,B:D,naturalistic
subj08,5,train,B:K,naturalistic
subj08,5,train,B:T,naturalistic
