subject,roi,family,donor,weight
subj08,ventral,anatomy,subj04,0.16469741917242775
subj08,ventral,anatomy,subj05,0.05854610093661504
subj08,ventral,anatomy,subj06,0.2410039229481343
subj08,ventral,anatomy,subj07,0.08392426249062034
subj08,ventral,behavior,subj01,0.7689791681393358
subj08,ventral,behavior,subj02,0.0
subj08,ventral,behavior,subj03,0.23102083186066427
subj08,ventral,behavior,subj04,0.0
subj08,ventral,behavior,subj05,0.0
subj08,ventral,behavior,subj06,0.0
subj08,ventral,behavior,subj07,0.0
subj01,lateral,anatomy,subj02,0.23296602750750894
subj01,lateral,anatomy,subj03,0.057312604823820903
subj01,lateral,anatomy,subj04,0.0
subj01,lateral,anatomy,subj05,0.19401442397304602
subj01,lateral,anatomy,subj06,0.173694096185221
subj01,lateral,anatomy,subj07,0.11447997664251287
subj01,lateral,anatomy,subj08,0.22753287086789026
subj01,lateral,behavior,subj02,0.5595269148388996
subj01,lateral,behavior,subj03,0.0
subj01,lateral,behavior,subj04,0.03691628008254216
subj01,lateral,behavior,subj05,0.05144766902141318
subj01,lateral,behavior,subj06,0.0
subj01,lateral,behavior,subj07,0.0
subj01,lateral,behavior,subj08,0.35210913605714506
subj02,lateral,anatomy,subj01,0.0
subj02,lateral,anatomy,subj03,0.0
subj02,lateral,anatomy,subj04,0.0
subj02,lateral,anatomy,subj05,0.9490969897608821
subj02,lateral,anatomy,subj06,0.0
subj02,lateral,anatomy,subj07,0.0
subj02,lateral,anatomy,subj08,0.05090301023911784
subj02,lateral,behavior,subj01,0.8814981856008587
subj02,lateral,behavior,subj03,0.0
subj02,lateral,behavior,subj04,0.11850181439914133
subj02,lateral,behavior,subj05,0.0
subj02,lateral,behavior,subj06,0.0
subj02,lateral,behavior,subj07,0.0
subj02,lateral,behavior,subj08,0.0
subj03,lateral,anatomy,subj01,0.0
subj03,lateral,anatomy,subj02,0.0
subj03,lateral,anatomy,subj04,0.2921330057975632
subj03,lateral,anatomy,subj05,0.0
subj03,lateral,anatomy,subj06,0.7078669942024368
subj03,lateral,anatomy,subj07,0.0
subj03,lateral,anatomy,subj08,0.0
subj03,lateral,behavior,subj01,0.0
subj03,lateral,behavior,subj02,0.0
subj03,lateral,behavior,subj04,0.0
subj03,lateral,behavior,subj05,0.0
subj03,lateral,behavior,subj06,0.0
subj03,lateral,behavior,subj07,0.8479247001885912
subj03,lateral,behavior,subj08,0.15207529981140883
subj04,lateral,anatomy,subj01,0.0
subj04,lateral,anatomy,subj02,0.0
subj04,lateral,anatomy,subj03,0.20599388682858946
subj04,lateral,anatomy,subj05,0.0
subj04,lateral,anatomy,subj06,0.0
subj04,lateral,anatomy,subj07,0.7940061131714105
subj04,lateral,anatomy,subj08,0.0
subj04,lateral,behavior,subj01,0.0
subj04,lateral,behavior,subj02,0.2704812753709481
subj04,lateral,behavior,subj03,0.0
subj04,lateral,behavior,subj05,0.0
subj04,lateral,behavior,subj06,0.729518724629052
subj04,lateral,behavior,subj07,0.0
subj04,lateral,behavior,subj08,0.0
subj05,lateral,anatomy,subj01,0.1579405582740624
subj05,lateral,anatomy,subj02,0.5234227481829433
subj05,lateral,anatomy,subj03,0.0
subj05,lateral,anatomy,subj04,0.0
subj05,lateral,anatomy,subj06,0.0
subj05,lateral,anatomy,subj07,0.2695479642580194
subj05,lateral,anatomy,subj08,0.049088729284974875
subj05,lateral,behavior,subj01,0.13737490083652604
subj05,lateral,behavior,subj02,0.1414916886725124
subj05,lateral,behavior,subj03,0.13458189790953837
subj05,lateral,behavior,subj04,0.15719979042045182
subj05,lateral,behavior,subj06,0.16045316196515508
subj05,lateral,behavior,subj07,0.1410684937651363
subj05,lateral,behavior,subj08,0.1278300664306799
subj06,lateral,anatomy,subj01,0.0
subj06,lateral,anatomy,subj02,0.0
subj06,lateral,anatomy,subj03,0.24599234360702119
subj06,lateral,anatomy,subj04,0.0
subj06,lateral,anatomy,subj05,0.0
subj06,lateral,anatomy,subj07,0.0
subj06,lateral,anatomy,subj08,0.7540076563929788
subj06,lateral,behavior,subj01,0.0
subj06,lateral,behavior,subj02,0.0
subj06,lateral,behavior,subj03,0.0
subj06,lateral,behavior,subj04,0.880385055115637
subj06,lateral,behavior,subj05,0.0
subj06,lateral,behavior,subj07,0.11961494488436299
subj06,lateral,behavior,subj08,0.0
subj07,lateral,anatomy,subj01,0.0
subj07,lateral,anatomy,subj02,0.0
subj07,lateral,anatomy,subj03,0.0
subj07,lateral,anatomy,subj04,0.2967467247823019
subj07,lateral,anatomy,subj05,0.703253275217698
subj07,lateral,anatomy,subj06,0.0
subj07,lateral,anatomy,subj08,0.0
subj07,lateral,behavior,subj01,0.0
subj07,lateral,behavior,subj02,0.0
subj07,lateral,behavior,subj03,0.7906283516479773
subj07,lateral,behavior,subj04,0.0
subj07,lateral,behavior,subj05,0.0
subj07,lateral,behavior,subj06,0.20937164835202265
subj07,lateral,behavior,subj08,0.0
subj08,lateral,anatomy,subj01,0.0
subj08,lateral,anatomy,subj02,0.13832216457834978
subj08,lateral,anatomy,subj03,0.0
subj08,lateral,anatomy,subj04,0.0
subj08,lateral,anatomy,subj05,0.0
subj08,lateral,anatomy,subj06,0.8616778354216502
subj08,lateral,anatomy,subj07,0.0
subj08,lateral,behavior,subj01,0.7689791681393358
subj08,lateral,behavior,subj02,0.0
subj08,lateral,behavior,subj03,0.23102083186066427
subj08,lateral,behavior,subj04,0.0
subj08,lateral,behavior,subj05,0.0
subj08,lateral,behavior,subj06,0.0
subj08,lateral,behavior,subj07,0.0
