beta_index0,beta_id1,run_name,tsv_trial,state,stim_set,family,condition,identity,cue,framefile,trialonset,roy_inclusion,source_tsv,repeat
12,13,visA,13,vision,A,simple,L,A:L,L,bar_135.0deg_450L_43W_cueL.png,63.9957802860008,True,nsdimagery_subj01_visA.tsv,3
13,14,visA,14,vision,A,simple,P,A:P,E,crs_000.0deg_450L_43W_cueE.png,67.9960314499986,True,nsdimagery_subj01_visA.tsv,2
14,15,visA,15,vision,A,simple,H,A:H,L,bar_000.0deg_450L_43W_cueL.png,71.9947610749987,True,nsdimagery_subj01_visA.tsv,2
15,16,visA,16,vision,A,simple,V,A:V,V,bar_090.0deg_450L_43W_cueV.png,79.9949592919984,True,nsdimagery_subj01_visA.tsv,2
16,17,visA,17,vision,A,simple,P,A:P,P,crs_000.0deg_450L_43W_cueP.png,83.9942288070015,True,nsdimagery_subj01_visA.tsv,3
17,18,visA,18,vision,A,simple,R,A:R,R,bar_045.0deg_450L_43W_cueR.png,87.9946070459991,True,nsdimagery_subj01_visA.tsv,1
18,19,visA,19,vision,A,simple,H,A:H,H,bar_000.0deg_450L_43W_cueH.png,91.9947490769991,True,nsdimagery_subj01_visA.tsv,3
19,20,visA,20,vision,A,simple,V,A:V,H,bar_090.0deg_450L_43W_cueH.png,95.9943442469994,True,nsdimagery_subj01_visA.tsv,3
20,21,visA,21,vision,A,simple,P,A:P,V,crs_000.0deg_450L_43W_cueV.png,99.9935816789985,True,nsdimagery_subj01_visA.tsv,4
21,22,visA,22,vision,A,simple,H,A:H,L,bar_000.0deg_450L_43W_cueL.png,103.994267421,True,nsdimagery_subj01_visA.tsv,4
22,23,visA,23,vision,A,simple,R,A:R,R,bar_045.0deg_450L_43W_cueR.png,111.993169924001,True,nsdimagery_subj01_visA.tsv,2
23,24,visA,24,vision,A,simple,E,A:E,V,crs_045.0deg_450L_43W_cueV.png,115.993361706998,True,nsdimagery_subj01_visA.tsv,2
24,25,visA,25,vision,A,simple,H,A:H,L,bar_000.0deg_450L_43W_cueL.png,119.992892385999,True,nsdimagery_subj01_visA.tsv,5
25,26,visA,26,vision,A,simple,R,A:R,R,bar_045.0deg_450L_43W_cueR.png,123.992479253,True,nsdimagery_subj01_visA.tsv,3
26,27,visA,27,vision,A,simple,E,A:E,E,crs_045.0deg_450L_43W_cueE.png,127.992116873,True,nsdimagery_subj01_visA.tsv,3
27,28,visA,28,vision,A,simple,L,A:L,L,bar_135.0deg_450L_43W_cueL.png,131.990949161001,True,nsdimagery_subj01_visA.tsv,4
28,29,visA,29,vision,A,simple,H,A:H,E,bar_000.0deg_450L_43W_cueE.png,135.990469413999,True,nsdimagery_subj01_visA.tsv,6
29,30,visA,30,vision,A,simple,L,A:L,P,bar_135.0deg_450L_43W_cueP.png,139.990433507999,True,nsdimagery_subj01_visA.tsv,5
30,31,visA,31,vision,A,simple,R,A:R,P,bar_045.0deg_450L_43W_cueP.png,143.990836171,True,nsdimagery_subj01_visA.tsv,4
31,32,visA,32,vision,A,simple,V,A:V,V,bar_090.0deg_450L_43W_cueV.png,147.9905827,True,nsdimagery_subj01_visA.tsv,4
32,33,visA,33,vision,A,simple,E,A:E,R,crs_045.0deg_450L_43W_cueR.png,151.99074112,True,nsdimagery_subj01_visA.tsv,4
33,34,visA,34,vision,A,simple,V,A:V,V,bar_090.0deg_450L_43W_cueV.png,155.990631596,True,nsdimagery_subj01_visA.tsv,5
34,35,visA,35,vision,A,simple,P,A:P,P,crs_000.0deg_450L_43W_cueP.png,163.990650525,True,nsdimagery_subj01_visA.tsv,5
35,36,visA,36,vision,A,simple,H,A:H,H,bar_000.0deg_450L_43W_cueH.png,167.991187634001,True,nsdimagery_subj01_visA.tsv,7
36,37,visA,37,vision,A,simple,L,A:L,H,bar_135.0deg_450L_43W_cueH.png,171.99101329,True,nsdimagery_subj01_visA.tsv,6
37,38,visA,38,vision,A,simple,P,A:P,E,crs_000.0deg_450L_43W_cueE.png,175.990949931002,True,nsdimagery_subj01_visA.tsv,6
38,39,visA,39,vision,A,simple,E,A:E,E,crs_045.0deg_450L_43W_cueE.png,179.99024132,True,nsdimagery_subj01_visA.tsv,5
39,40,visA,40,vision,A,simple,R,A:R,H,bar_045.0deg_450L_43W_cueH.png,183.989660306001,True,nsdimagery_subj01_visA.tsv,5
40,41,visA,41,vision,A,simple,V,A:V,E,bar_090.0deg_450L_43W_cueE.png,187.989330905999,True,nsdimagery_subj01_visA.tsv,6
41,42,visA,42,vision,A,simple,P,A:P,P,crs_000.0deg_450L_43W_cueP.png,195.989877641001,True,nsdimagery_subj01_visA.tsv,7
42,43,visA,43,vision,A,simple,L,A:L,L,bar_135.0deg_450L_43W_cueL.png,199.988821833998,True,nsdimagery_subj01_visA.tsv,7
43,44,visA,44,vision,A,simple,E,A:E,E,crs_045.0deg_450L_43W_cueE.png,203.988458764001,True,nsdimagery_subj01_visA.tsv,6
44,45,visA,45,vision,A,simple,R,A:R,V,bar_045.0deg_450L_43W_cueV.png,207.988323000001,True,nsdimagery_subj01_visA.tsv,6
45,46,visA,46,vision,A,simple,V,A:V,H,bar_090.0deg_450L_43W_cueH.png,211.988691553001,True,nsdimagery_subj01_visA.tsv,7
46,47,visA,47,vision,A,simple,R,A:R,R,bar_045.0deg_450L_43W_cueR.png,215.988628065999,True,nsdimagery_subj01_visA.tsv,7
47,48,visA,48,vision,A,simple,E,A:E,R,crs_045.0deg_450L_43W_cueR.png,219.988281721999,True,nsdimagery_subj01_visA.tsv,7
192,193,visB,1,vision,B,naturalistic,W,B:W,B,shared0385_nsd28752_cueB.png,12.0077211110001,True,nsdimagery_subj01_visB.tsv,0
193,194,visB,2,vision,B,naturalistic,C,B:C,W,shared0842_nsd61178_cueW.png,16.007785146001,True,nsdimagery_subj01_visB.tsv,0
194,195,visB,3,vision,B,naturalistic,W,B:W,W,shared0385_nsd28752_cueW.png,20.0060850209993,True,nsdimagery_subj01_visB.tsv,1
195,196,visB,4,vision,B,naturalistic,D,B:D,B,shared0907_nsd65873_cueB.png,24.0074376990015,True,nsdimagery_subj01_visB.tsv,0
196,197,visB,5,vision,B,naturalistic,T,B:T,T,shared0000_nsd00000_cueT.png,28.005607381001,True,nsdimagery_subj01_visB.tsv,0
197,198,visB,6,vision,B,naturalistic,B,B:B,K,shared0741_nsd53882_cueK.png,32.0081358200005,True,nsdimagery_subj01_visB.tsv,0
198,199,visB,7,vision,B,naturalistic,D,B:D,B,shared0907_nsd65873_cueB.png,36.0051293950019,True,nsdimagery_subj01_visB.tsv,1
199,200,visB,8,vision,B,naturalistic,K,B:K,K,shared0413_nsd30857_cueK.png,40.0084661889996,True,nsdimagery_subj01_visB.tsv,0
200,201,visB,9,vision,B,naturalistic,W,B:W,K,shared0385_nsd28752_cueK.png,44.0053734409994,True,nsdimagery_subj01_visB.tsv,2
201,202,visB,10,vision,B,naturalistic,K,B:K,W,shared0413_nsd30857_cueW.png,52.0047803529997,True,nsdimagery_subj01_visB.tsv,1
202,203,visB,11,vision,B,naturalistic,C,B:C,C,shared0842_nsd61178_cueC.png,56.0092031329987,True,nsdimagery_subj01_visB.tsv,1
203,204,visB,12,vision,B,naturalistic,K,B:K,T,shared0413_nsd30857_cueT.png,60.0041198889994,True,nsdimagery_subj01_visB.tsv,2
204,205,visB,13,vision,B,naturalistic,T,B:T,B,shared0000_nsd00000_cueB.png,64.0092124170005,True,nsdimagery_subj01_visB.tsv,1
205,206,visB,14,vision,B,naturalistic,D,B:D,D,shared0907_nsd65873_cueD.png,68.0034444390003,True,nsdimagery_subj01_visB.tsv,2
206,207,visB,15,vision,B,naturalistic,C,B:C,C,shared0842_nsd61178_cueC.png,72.0096475470018,True,nsdimagery_subj01_visB.tsv,2
207,208,visB,16,vision,B,naturalistic,W,B:W,W,shared0385_nsd28752_cueW.png,76.0032400900018,True,nsdimagery_subj01_visB.tsv,3
208,209,visB,17,vision,B,naturalistic,C,B:C,T,shared0842_nsd61178_cueT.png,84.0033183660016,True,nsdimagery_subj01_visB.tsv,3
209,210,visB,18,vision,B,naturalistic,D,B:D,D,shared0907_nsd65873_cueD.png,88.0043611670008,True,nsdimagery_subj01_visB.tsv,3
210,211,visB,19,vision,B,naturalistic,B,B:B,B,shared0741_nsd53882_cueB.png,92.0030908049994,True,nsdimagery_subj01_visB.tsv,1
211,212,visB,20,vision,B,naturalistic,K,B:K,K,shared0413_nsd30857_cueK.png,96.0038472460001,True,nsdimagery_subj01_visB.tsv,3
212,213,visB,21,vision,B,naturalistic,D,B:D,W,shared0907_nsd65873_cueW.png,100.002453121,True,nsdimagery_subj01_visB.tsv,4
213,214,visB,22,vision,B,naturalistic,T,B:T,T,shared0000_nsd00000_cueT.png,104.003304213998,True,nsdimagery_subj01_visB.tsv,2
214,215,visB,23,vision,B,naturalistic,D,B:D,T,shared0907_nsd65873_cueT.png,108.001812376999,True,nsdimagery_subj01_visB.tsv,5
215,216,visB,24,vision,B,naturalistic,C,B:C,C,shared0842_nsd61178_cueC.png,116.001731427001,True,nsdimagery_subj01_visB.tsv,4
216,217,visB,25,vision,B,naturalistic,W,B:W,W,shared0385_nsd28752_cueW.png,120.002147055002,True,nsdimagery_subj01_visB.tsv,4
217,218,visB,26,vision,B,naturalistic,C,B:C,D,shared0842_nsd61178_cueD.png,124.001714911999,True,nsdimagery_subj01_visB.tsv,5
218,219,visB,27,vision,B,naturalistic,T,B:T,K,shared0000_nsd00000_cueK.png,128.002390452999,True,nsdimagery_subj01_visB.tsv,3
219,220,visB,28,vision,B,naturalistic,W,B:W,W,shared0385_nsd28752_cueW.png,132.000990963999,True,nsdimagery_subj01_visB.tsv,5
220,221,visB,29,vision,B,naturalistic,B,B:B,K,shared0741_nsd53882_cueK.png,136.001650573002,True,nsdimagery_subj01_visB.tsv,2
221,222,visB,30,vision,B,naturalistic,W,B:W,C,shared0385_nsd28752_cueC.png,140.000683851998,True,nsdimagery_subj01_visB.tsv,6
222,223,visB,31,vision,B,naturalistic,K,B:K,K,shared0413_nsd30857_cueK.png,148.008407575999,True,nsdimagery_subj01_visB.tsv,4
223,224,visB,32,vision,B,naturalistic,B,B:B,B,shared0741_nsd53882_cueB.png,152.015979660002,True,nsdimagery_subj01_visB.tsv,3
224,225,visB,33,vision,B,naturalistic,T,B:T,D,shared0000_nsd00000_cueD.png,156.016982994999,True,nsdimagery_subj01_visB.tsv,4
225,226,visB,34,vision,B,naturalistic,D,B:D,D,shared0907_nsd65873_cueD.png,160.016534365001,True,nsdimagery_subj01_visB.tsv,6
226,227,visB,35,vision,B,naturalistic,K,B:K,W,shared0413_nsd30857_cueW.png,164.015541617999,True,nsdimagery_subj01_visB.tsv,5
227,228,visB,36,vision,B,naturalistic,B,B:B,B,shared0741_nsd53882_cueB.png,168.015867374001,True,nsdimagery_subj01_visB.tsv,4
228,229,visB,37,vision,B,naturalistic,K,B:K,K,shared0413_nsd30857_cueK.png,172.015588974999,True,nsdimagery_subj01_visB.tsv,6
229,230,visB,38,vision,B,naturalistic,B,B:B,B,shared0741_nsd53882_cueB.png,180.015520612,True,nsdimagery_subj01_visB.tsv,5
230,231,visB,39,vision,B,naturalistic,C,B:C,C,shared0842_nsd61178_cueC.png,184.014913537001,True,nsdimagery_subj01_visB.tsv,6
231,232,visB,40,vision,B,naturalistic,W,B:W,C,shared0385_nsd28752_cueC.png,188.014930576999,True,nsdimagery_subj01_visB.tsv,7
232,233,visB,41,vision,B,naturalistic,T,B:T,T,shared0000_nsd00000_cueT.png,192.014216324002,True,nsdimagery_subj01_visB.tsv,5
233,234,visB,42,vision,B,naturalistic,B,B:B,C,shared0741_nsd53882_cueC.png,196.014675494,True,nsdimagery_subj01_visB.tsv,6
234,235,visB,43,vision,B,naturalistic,C,B:C,D,shared0842_nsd61178_cueD.png,200.022116569999,True,nsdimagery_subj01_visB.tsv,7
235,236,visB,44,vision,B,naturalistic,K,B:K,T,shared0413_nsd30857_cueT.png,204.022291809,True,nsdimagery_subj01_visB.tsv,7
236,237,visB,45,vision,B,naturalistic,T,B:T,C,shared0000_nsd00000_cueC.png,208.022786775,True,nsdimagery_subj01_visB.tsv,6
237,238,visB,46,vision,B,naturalistic,D,B:D,D,shared0907_nsd65873_cueD.png,212.021935690002,True,nsdimagery_subj01_visB.tsv,7
238,239,visB,47,vision,B,naturalistic,B,B:B,D,shared0741_nsd53882_cueD.png,216.021748224,True,nsdimagery_subj01_visB.tsv,7
239,240,visB,48,vision,B,naturalistic,T,B:T,T,shared0000_nsd00000_cueT.png,220.021601307999,True,nsdimagery_subj01_visB.tsv,7
576,577,imgA_2,1,imagery,A,simple,L,A:L,L,blank00000_00000000_cueL.png,12.0059137790013,True,nsdimagery_subj01_imgA_2.tsv,0
577,578,imgA_2,2,imagery,A,simple,V,A:V,V,blank00000_00000000_cueV.png,16.0065929940029,True,nsdimagery_subj01_imgA_2.tsv,0
578,579,imgA_2,3,imagery,A,simple,R,A:R,R,blank00000_00000000_cueR.png,20.0051083150029,True,nsdimagery_subj01_imgA_2.tsv,0
579,580,imgA_2,4,imagery,A,simple,L,A:L,L,blank00000_00000000_cueL.png,24.0061824069999,True,nsdimagery_subj01_imgA_2.tsv,1
580,581,imgA_2,5,imagery,A,simple,V,A:V,V,blank00000_00000000_cueV.png,28.0048495250012,True,nsdimagery_subj01_imgA_2.tsv,1
581,582,imgA_2,6,imagery,A,simple,P,A:P,P,blank00000_00000000_cueP.png,32.0129116540011,True,nsdimagery_subj01_imgA_2.tsv,0
582,583,imgA_2,7,imagery,A,simple,V,A:V,V,blank00000_00000000_cueV.png,36.013119823001,True,nsdimagery_subj01_imgA_2.tsv,2
583,584,imgA_2,8,imagery,A,simple,R,A:R,R,blank00000_00000000_cueR.png,40.0129573400009,True,nsdimagery_subj01_imgA_2.tsv,1
584,585,imgA_2,9,imagery,A,simple,H,A:H,H,blank00000_00000000_cueH.png,48.013335691001,True,nsdimagery_subj01_imgA_2.tsv,0
585,586,imgA_2,10,imagery,A,simple,R,A:R,R,blank00000_00000000_cueR.png,52.0118574440021,True,nsdimagery_subj01_imgA_2.tsv,2
586,587,imgA_2,11,imagery,A,simple,V,A:V,V,blank00000_00000000_cueV.png,56.013467257002,True,nsdimagery_subj01_imgA_2.tsv,3
587,588,imgA_2,12,imagery,A,simple,E,A:E,E,blank00000_00000000_cueE.png,60.0116644430018,True,nsdimagery_subj01_imgA_2.tsv,0
588,589,imgA_2,13,imagery,A,simple,R,A:R,R,blank00000_00000000_cueR.png,64.0132213220022,True,nsdimagery_subj01_imgA_2.tsv,3
589,590,imgA_2,14,imagery,A,simple,V,A:V,V,blank00000_00000000_cueV.png,68.0140301020001,True,nsdimagery_subj01_imgA_2.tsv,4
590,591,imgA_2,15,imagery,A,simple,L,A:L,L,blank00000_00000000_cueL.png,72.0198450490025,True,nsdimagery_subj01_imgA_2.tsv,2
591,592,imgA_2,16,imagery,A,simple,E,A:E,E,blank00000_00000000_cueE.png,76.0277865509997,True,nsdimagery_subj01_imgA_2.tsv,1
592,593,imgA_2,17,imagery,A,simple,P,A:P,P,blank00000_00000000_cueP.png,80.0273089420007,True,nsdimagery_subj01_imgA_2.tsv,1
593,594,imgA_2,18,imagery,A,simple,H,A:H,H,blank00000_00000000_cueH.png,88.030788,True,nsdimagery_subj01_imgA_2.tsv,1
594,595,imgA_2,19,imagery,A,simple,E,A:E,E,blank00000_00000000_cueE.png,92.0310141959999,True,nsdimagery_subj01_imgA_2.tsv,2
595,596,imgA_2,20,imagery,A,simple,L,A:L,L,blank00000_00000000_cueL.png,96.0352433059998,True,nsdimagery_subj01_imgA_2.tsv,3
596,597,imgA_2,21,imagery,A,simple,E,A:E,E,blank00000_00000000_cueE.png,100.034917042001,True,nsdimagery_subj01_imgA_2.tsv,3
597,598,imgA_2,22,imagery,A,simple,L,A:L,L,blank00000_00000000_cueL.png,104.034701022003,True,nsdimagery_subj01_imgA_2.tsv,4
598,599,imgA_2,23,imagery,A,simple,E,A:E,E,blank00000_00000000_cueE.png,108.034108004002,True,nsdimagery_subj01_imgA_2.tsv,4
599,600,imgA_2,24,imagery,A,simple,H,A:H,H,blank00000_00000000_cueH.png,112.042474627,True,nsdimagery_subj01_imgA_2.tsv,2
600,601,imgA_2,25,imagery,A,simple,E,A:E,E,blank00000_00000000_cueE.png,120.042629663003,True,nsdimagery_subj01_imgA_2.tsv,5
601,602,imgA_2,26,imagery,A,simple,H,A:H,H,blank00000_00000000_cueH.png,124.042294399002,True,nsdimagery_subj01_imgA_2.tsv,3
602,603,imgA_2,27,imagery,A,simple,P,A:P,P,blank00000_00000000_cueP.png,128.041629269002,True,nsdimagery_subj01_imgA_2.tsv,2
603,604,imgA_2,28,imagery,A,simple,E,A:E,E,blank00000_00000000_cueE.png,132.048977860002,True,nsdimagery_subj01_imgA_2.tsv,6
604,605,imgA_2,29,imagery,A,simple,R,A:R,R,blank00000_00000000_cueR.png,136.049517364001,True,nsdimagery_subj01_imgA_2.tsv,4
605,606,imgA_2,30,imagery,A,simple,H,A:H,H,blank00000_00000000_cueH.png,140.058095004002,True,nsdimagery_subj01_imgA_2.tsv,4
606,607,imgA_2,31,imagery,A,simple,L,A:L,L,blank00000_00000000_cueL.png,144.057984873001,True,nsdimagery_subj01_imgA_2.tsv,5
607,608,imgA_2,32,imagery,A,simple,P,A:P,P,blank00000_00000000_cueP.png,148.058096190001,True,nsdimagery_subj01_imgA_2.tsv,3
608,609,imgA_2,33,imagery,A,simple,V,A:V,V,blank00000_00000000_cueV.png,152.065458879002,True,nsdimagery_subj01_imgA_2.tsv,5
609,610,imgA_2,34,imagery,A,simple,H,A:H,H,blank00000_00000000_cueH.png,160.065680538002,True,nsdimagery_subj01_imgA_2.tsv,5
610,611,imgA_2,35,imagery,A,simple,P,A:P,P,blank00000_00000000_cueP.png,164.065130735002,True,nsdimagery_subj01_imgA_2.tsv,4
611,612,imgA_2,36,imagery,A,simple,L,A:L,L,blank00000_00000000_cueL.png,168.064852964002,True,nsdimagery_subj01_imgA_2.tsv,6
612,613,imgA_2,37,imagery,A,simple,V,A:V,V,blank00000_00000000_cueV.png,172.067084877002,True,nsdimagery_subj01_imgA_2.tsv,6
613,614,imgA_2,38,imagery,A,simple,R,A:R,R,blank00000_00000000_cueR.png,176.072747171002,True,nsdimagery_subj01_imgA_2.tsv,5
614,615,imgA_2,39,imagery,A,simple,H,A:H,H,blank00000_00000000_cueH.png,180.072884769001,True,nsdimagery_subj01_imgA_2.tsv,6
615,616,imgA_2,40,imagery,A,simple,L,A:L,L,blank00000_00000000_cueL.png,184.072624226003,True,nsdimagery_subj01_imgA_2.tsv,7
616,617,imgA_2,41,imagery,A,simple,R,A:R,R,blank00000_00000000_cueR.png,192.072173093002,True,nsdimagery_subj01_imgA_2.tsv,6
617,618,imgA_2,42,imagery,A,simple,V,A:V,V,blank00000_00000000_cueV.png,196.072485347002,True,nsdimagery_subj01_imgA_2.tsv,7
618,619,imgA_2,43,imagery,A,simple,E,A:E,E,blank00000_00000000_cueE.png,200.071650189002,True,nsdimagery_subj01_imgA_2.tsv,7
619,620,imgA_2,44,imagery,A,simple,P,A:P,P,blank00000_00000000_cueP.png,204.071446040001,True,nsdimagery_subj01_imgA_2.tsv,5
620,621,imgA_2,45,imagery,A,simple,H,A:H,H,blank00000_00000000_cueH.png,208.071901030002,True,nsdimagery_subj01_imgA_2.tsv,7
621,622,imgA_2,46,imagery,A,simple,P,A:P,P,blank00000_00000000_cueP.png,212.071001346001,True,nsdimagery_subj01_imgA_2.tsv,6
622,623,imgA_2,47,imagery,A,simple,R,A:R,R,blank00000_00000000_cueR.png,216.070632075003,True,nsdimagery_subj01_imgA_2.tsv,7
623,624,imgA_2,48,imagery,A,simple,P,A:P,P,blank00000_00000000_cueP.png,220.071147374001,True,nsdimagery_subj01_imgA_2.tsv,7
624,625,imgB_2,1,imagery,B,naturalistic,B,B:B,B,blank00000_00000000_cueB.png,11.998096927,True,nsdimagery_subj01_imgB_2.tsv,0
625,626,imgB_2,2,imagery,B,naturalistic,W,B:W,W,blank00000_00000000_cueW.png,15.9976718659964,True,nsdimagery_subj01_imgB_2.tsv,0
626,627,imgB_2,3,imagery,B,naturalistic,C,B:C,C,blank00000_00000000_cueC.png,19.9969622639983,True,nsdimagery_subj01_imgB_2.tsv,0
627,628,imgB_2,4,imagery,B,naturalistic,T,B:T,T,blank00000_00000000_cueT.png,24.0000844809983,True,nsdimagery_subj01_imgB_2.tsv,0
628,629,imgB_2,5,imagery,B,naturalistic,C,B:C,C,blank00000_00000000_cueC.png,27.9972448609988,True,nsdimagery_subj01_imgB_2.tsv,1
629,630,imgB_2,6,imagery,B,naturalistic,K,B:K,K,blank00000_00000000_cueK.png,31.9995617519999,True,nsdimagery_subj01_imgB_2.tsv,0
630,631,imgB_2,7,imagery,B,naturalistic,D,B:D,D,blank00000_00000000_cueD.png,35.9961723669985,True,nsdimagery_subj01_imgB_2.tsv,0
631,632,imgB_2,8,imagery,B,naturalistic,C,B:C,C,blank00000_00000000_cueC.png,39.9998824199974,True,nsdimagery_subj01_imgB_2.tsv,2
632,633,imgB_2,9,imagery,B,naturalistic,K,B:K,K,blank00000_00000000_cueK.png,48.0001122649992,True,nsdimagery_subj01_imgB_2.tsv,1
633,634,imgB_2,10,imagery,B,naturalistic,W,B:W,W,blank00000_00000000_cueW.png,51.9953412549985,True,nsdimagery_subj01_imgB_2.tsv,1
634,635,imgB_2,11,imagery,B,naturalistic,K,B:K,K,blank00000_00000000_cueK.png,56.0006229739993,True,nsdimagery_subj01_imgB_2.tsv,2
635,636,imgB_2,12,imagery,B,naturalistic,D,B:D,D,blank00000_00000000_cueD.png,59.9955485109967,True,nsdimagery_subj01_imgB_2.tsv,1
636,637,imgB_2,13,imagery,B,naturalistic,C,B:C,C,blank00000_00000000_cueC.png,64.000797061999,True,nsdimagery_subj01_imgB_2.tsv,3
637,638,imgB_2,14,imagery,B,naturalistic,D,B:D,D,blank00000_00000000_cueD.png,67.9947627799993,True,nsdimagery_subj01_imgB_2.tsv,2
638,639,imgB_2,15,imagery,B,naturalistic,C,B:C,C,blank00000_00000000_cueC.png,72.0012951199969,True,nsdimagery_subj01_imgB_2.tsv,4
639,640,imgB_2,16,imagery,B,naturalistic,T,B:T,T,blank00000_00000000_cueT.png,75.9948805819986,True,nsdimagery_subj01_imgB_2.tsv,1
640,641,imgB_2,17,imagery,B,naturalistic,D,B:D,D,blank00000_00000000_cueD.png,83.9939016609969,True,nsdimagery_subj01_imgB_2.tsv,3
641,642,imgB_2,18,imagery,B,naturalistic,B,B:B,B,blank00000_00000000_cueB.png,88.001704520997,True,nsdimagery_subj01_imgB_2.tsv,1
642,643,imgB_2,19,imagery,B,naturalistic,T,B:T,T,blank00000_00000000_cueT.png,91.9939670639978,True,nsdimagery_subj01_imgB_2.tsv,2
643,644,imgB_2,20,imagery,B,naturalistic,C,B:C,C,blank00000_00000000_cueC.png,96.0022246659973,True,nsdimagery_subj01_imgB_2.tsv,5
644,645,imgB_2,21,imagery,B,naturalistic,W,B:W,W,blank00000_00000000_cueW.png,99.993749735997,True,nsdimagery_subj01_imgB_2.tsv,2
645,646,imgB_2,22,imagery,B,naturalistic,B,B:B,B,blank00000_00000000_cueB.png,104.002599027997,True,nsdimagery_subj01_imgB_2.tsv,2
646,647,imgB_2,23,imagery,B,naturalistic,T,B:T,T,blank00000_00000000_cueT.png,107.992659504998,True,nsdimagery_subj01_imgB_2.tsv,3
647,648,imgB_2,24,imagery,B,naturalistic,B,B:B,B,blank00000_00000000_cueB.png,116.000996534,True,nsdimagery_subj01_imgB_2.tsv,3
648,649,imgB_2,25,imagery,B,naturalistic,K,B:K,K,blank00000_00000000_cueK.png,120.002883734,True,nsdimagery_subj01_imgB_2.tsv,3
649,650,imgB_2,26,imagery,B,naturalistic,D,B:D,D,blank00000_00000000_cueD.png,124.000710793,True,nsdimagery_subj01_imgB_2.tsv,4
650,651,imgB_2,27,imagery,B,naturalistic,T,B:T,T,blank00000_00000000_cueT.png,128.003127980999,True,nsdimagery_subj01_imgB_2.tsv,4
651,652,imgB_2,28,imagery,B,naturalistic,W,B:W,W,blank00000_00000000_cueW.png,132.008287958997,True,nsdimagery_subj01_imgB_2.tsv,3
652,653,imgB_2,29,imagery,B,naturalistic,C,B:C,C,blank00000_00000000_cueC.png,136.008343821999,True,nsdimagery_subj01_imgB_2.tsv,6
653,654,imgB_2,30,imagery,B,naturalistic,B,B:B,B,blank00000_00000000_cueB.png,140.008570234997,True,nsdimagery_subj01_imgB_2.tsv,4
654,655,imgB_2,31,imagery,B,naturalistic,D,B:D,D,blank00000_00000000_cueD.png,144.007681878,True,nsdimagery_subj01_imgB_2.tsv,5
655,656,imgB_2,32,imagery,B,naturalistic,W,B:W,W,blank00000_00000000_cueW.png,148.007930663,True,nsdimagery_subj01_imgB_2.tsv,4
656,657,imgB_2,33,imagery,B,naturalistic,K,B:K,K,blank00000_00000000_cueK.png,156.007916350998,True,nsdimagery_subj01_imgB_2.tsv,4
657,658,imgB_2,34,imagery,B,naturalistic,W,B:W,W,blank00000_00000000_cueW.png,160.020593584999,True,nsdimagery_subj01_imgB_2.tsv,5
658,659,imgB_2,35,imagery,B,naturalistic,K,B:K,K,blank00000_00000000_cueK.png,164.015236075,True,nsdimagery_subj01_imgB_2.tsv,5
659,660,imgB_2,36,imagery,B,naturalistic,B,B:B,B,blank00000_00000000_cueB.png,168.014797160999,True,nsdimagery_subj01_imgB_2.tsv,5
660,661,imgB_2,37,imagery,B,naturalistic,T,B:T,T,blank00000_00000000_cueT.png,172.014707404996,True,nsdimagery_subj01_imgB_2.tsv,5
661,662,imgB_2,38,imagery,B,naturalistic,W,B:W,W,blank00000_00000000_cueW.png,176.021307816998,True,nsdimagery_subj01_imgB_2.tsv,6
