participant,ROI,beta,fold,n_denoised_records,self_target,self_source,val_test_in_training,cross_identity_target,training_row_not_train_split,dependency_hash
subj02,V1,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,V1,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,V2,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,V2,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,V2,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,V2,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,V2,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,V2,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,V2,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,V2,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,V3,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,V3,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,V3,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,V3,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,V3,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,V3,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,V3,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,V3,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,hV4,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,hV4,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,hV4,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,hV4,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,hV4,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,hV4,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,hV4,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,hV4,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,ventral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,ventral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,ventral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,ventral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,ventral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,ventral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,ventral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,ventral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,lateral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,lateral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,lateral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,lateral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,lateral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,lateral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,lateral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,lateral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,parietal,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,parietal,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,parietal,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,parietal,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,parietal,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,parietal,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,parietal,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,parietal,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,V1,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,V1,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,V1,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,V1,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,V1,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,V1,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,V1,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,V1,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,V2,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,V2,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,V2,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,V2,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,V2,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,V2,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,V2,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,V2,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,V3,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,V3,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,V3,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,V3,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,V3,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,V3,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,V3,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,V3,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,hV4,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,hV4,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,hV4,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,hV4,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,hV4,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,hV4,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,hV4,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,hV4,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,ventral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,ventral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,ventral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,ventral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,ventral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,ventral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,ventral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,ventral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,lateral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,lateral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,lateral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,lateral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,lateral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,lateral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,lateral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,lateral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,parietal,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,parietal,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,parietal,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,parietal,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj03,parietal,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj03,parietal,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj03,parietal,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj03,parietal,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,V1,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,V1,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,V1,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,V1,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,V1,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,V1,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,V1,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,V1,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,V2,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,V2,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,V2,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,V2,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,V2,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,V2,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,V2,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,V2,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,V3,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,V3,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,V3,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,V3,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,V3,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,V3,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,V3,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,V3,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,hV4,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,hV4,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,hV4,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,hV4,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,hV4,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,hV4,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,hV4,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,hV4,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,ventral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,ventral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,ventral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,ventral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,ventral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,ventral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,ventral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,ventral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,lateral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,lateral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,lateral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,lateral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,lateral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,lateral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,lateral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,lateral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,parietal,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,parietal,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,parietal,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,parietal,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj04,parietal,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj04,parietal,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj04,parietal,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj04,parietal,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,V1,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,V1,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,V1,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,V1,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,V1,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,V1,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,V1,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,V1,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,V2,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,V2,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,V2,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,V2,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,V2,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,V2,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,V2,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,V2,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,V3,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,V3,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,V3,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,V3,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,V3,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,V3,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,V3,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,V3,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,hV4,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,hV4,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,hV4,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,hV4,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,hV4,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,hV4,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,hV4,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,hV4,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,ventral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,ventral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,ventral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,ventral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,ventral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,ventral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,ventral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,ventral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,lateral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,lateral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,lateral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,lateral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,lateral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,lateral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,lateral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,lateral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,parietal,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,parietal,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,parietal,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,parietal,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj05,parietal,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj05,parietal,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj05,parietal,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj05,parietal,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,V1,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,V1,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,V1,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,V1,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,V1,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,V1,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,V1,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,V1,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,V2,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,V2,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,V2,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,V2,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,V2,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,V2,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,V2,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,V2,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,V3,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,V3,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,V3,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,V3,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,V3,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,V3,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,V3,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,V3,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,hV4,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,hV4,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,hV4,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,hV4,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,hV4,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,hV4,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,hV4,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,hV4,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,ventral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,ventral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,ventral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,ventral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,ventral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,ventral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,ventral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,ventral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,lateral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,lateral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,lateral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,lateral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,lateral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,lateral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,lateral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,lateral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,parietal,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,parietal,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,parietal,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,parietal,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj06,parietal,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj06,parietal,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj06,parietal,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj06,parietal,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj07,V1,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj07,V1,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj07,V1,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj07,V1,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj07,V1,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj07,V1,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj07,V1,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj07,V1,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj07,V2,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj07,V2,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj07,V2,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj07,V2,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj07,V2,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj07,V2,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj07,V2,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj07,V2,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj07,V3,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj07,V3,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj07,V3,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj07,V3,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj07,V3,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj07,V3,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj07,V3,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj07,V3,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj07,hV4,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj07,hV4,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
