beta,fold,split,identity,denoised_row,beta_index,model_id,n_train_source,n_train_target,self_target
B0,fold_0,train,A:R,30,30,fold_0:LOO_excl_30,138,138,0
B0,fold_0,train,A:R,39,39,fold_0:LOO_excl_39,138,138,0
B0,fold_0,train,A:V,1,1,fold_0:LOO_excl_1,138,138,0
B0,fold_0,train,A:V,3,3,fold_0:LOO_excl_3,138,138,0
B0,fold_0,train,A:V,15,15,fold_0:LOO_excl_15,138,138,0
B0,fold_0,train,A:V,19,19,fold_0:LOO_excl_19,138,138,0
B0,fold_0,train,B:B,53,197,fold_0:LOO_excl_53,138,138,0
B0,fold_0,train,B:B,66,210,fold_0:LOO_excl_66,138,138,0
B0,fold_0,train,B:B,79,223,fold_0:LOO_excl_79,138,138,0
B0,fold_0,train,B:B,89,233,fold_0:LOO_excl_89,138,138,0
B0,fold_0,train,B:C,58,202,fold_0:LOO_excl_58,138,138,0
B0,fold_0,train,B:C,62,206,fold_0:LOO_excl_62,138,138,0
B0,fold_0,train,B:C,71,215,fold_0:LOO_excl_71,138,138,0
B0,fold_0,train,B:C,90,234,fold_0:LOO_excl_90,138,138,0
B0,fold_0,train,B:D,68,212,fold_0:LOO_excl_68,138,138,0
B0,fold_0,train,B:D,70,214,fold_0:LOO_excl_70,138,138,0
B0,fold_0,train,B:D,81,225,fold_0:LOO_excl_81,138,138,0
B0,fold_0,train,B:D,93,237,fold_0:LOO_excl_93,138,138,0
B0,fold_0,train,B:K,59,203,fold_0:LOO_excl_59,138,138,0
B0,fold_0,train,B:K,67,211,fold_0:LOO_excl_67,138,138,0
B0,fold_0,train,B:K,82,226,fold_0:LOO_excl_82,138,138,0
B0,fold_0,train,B:K,91,235,fold_0:LOO_excl_91,138,138,0
B0,fold_0,train,B:T,52,196,fold_0:LOO_excl_52,138,138,0
B0,fold_0,train,B:T,60,204,fold_0:LOO_excl_60,138,138,0
B0,fold_0,train,B:T,92,236,fold_0:LOO_excl_92,138,138,0
B0,fold_0,train,B:T,95,239,fold_0:LOO_excl_95,138,138,0
B0,fold_0,train,B:W,56,200,fold_0:LOO_excl_56,138,138,0
B0,fold_0,train,B:W,72,216,fold_0:LOO_excl_72,138,138,0
B0,fold_0,train,B:W,75,219,fold_0:LOO_excl_75,138,138,0
B0,fold_0,train,B:W,77,221,fold_0:LOO_excl_77,138,138,0
B0,fold_0,val,A:E,9,9,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:E,38,38,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:H,18,18,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:H,21,21,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:L,7,7,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:L,29,29,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:P,11,11,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:P,37,37,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:R,5,5,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:R,44,44,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:V,31,31,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,A:V,33,33,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:B,83,227,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:B,85,229,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:C,49,193,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:C,73,217,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:D,61,205,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:D,65,209,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:K,57,201,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:K,84,228,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:T,69,213,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:T,80,224,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:W,48,192,fold_0:FULLTRAIN,144,144,0
B0,fold_0,val,B:W,63,207,fold_0:FULLTRAIN,144,144,0
B0,fold_1,test,A:E,26,26,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:E,32,32,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:H,10,10,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:H,14,14,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:L,12,12,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:L,27,27,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:P,8,8,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:P,13,13,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:R,22,22,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:R,30,30,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:V,1,1,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,A:V,3,3,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:B,66,210,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:B,79,223,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:C,58,202,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:C,71,215,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:D,70,214,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:D,93,237,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:K,67,211,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:K,91,235,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:T,52,196,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:T,92,236,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:W,56,200,fold_1:FULLTRAIN,144,144,0
B0,fold_1,test,B:W,75,219,fold_1:FULLTRAIN,144,144,0
B0,fold_1,train,A:E,6,6,fold_1:LOO_excl_6,138,138,0
B0,fold_1,train,A:E,23,23,fold_1:LOO_excl_23,138,138,0
B0,fold_1,train,A:E,43,43,fold_1:LOO_excl_43,138,138,0
B0,fold_1,train,A:E,47,47,fold_1:LOO_excl_47,138,138,0
B0,fold_1,train,A:H,2,2,fold_1:LOO_excl_2,138,138,0
B0,fold_1,train,A:H,24,24,fold_1:LOO_excl_24,138,138,0
B0,fold_1,train,A:H,28,28,fold_1:LOO_excl_28,138,138,0
B0,fold_1,train,A:H,35,35,fold_1:LOO_excl_35,138,138,0
B0,fold_1,train,A:L,0,0,fold_1:LOO_excl_0,138,138,0
B0,fold_1,train,A:L,4,4,fold_1:LOO_excl_4,138,138,0
B0,fold_1,train,A:L,36,36,fold_1:LOO_excl_36,138,138,0
B0,fold_1,train,A:L,42,42,fold_1:LOO_excl_42,138,138,0
B0,fold_1,train,A:P,16,16,fold_1:LOO_excl_16,138,138,0
B0,fold_1,train,A:P,20,20,fold_1:LOO_excl_20,138,138,0
B0,fold_1,train,A:P,34,34,fold_1:LOO_excl_34,138,138,0
B0,fold_1,train,A:P,41,41,fold_1:LOO_excl_41,138,138,0
B0,fold_1,train,A:R,17,17,fold_1:LOO_excl_17,138,138,0
B0,fold_1,train,A:R,25,25,fold_1:LOO_excl_25,138,138,0
B0,fold_1,train,A:R,39,39,fold_1:LOO_excl_39,138,138,0
B0,fold_1,train,A:R,46,46,fold_1:LOO_excl_46,138,138,0
B0,fold_1,train,A:V,15,15,fold_1:LOO_excl_15,138,138,0
B0,fold_1,train,A:V,19,19,fold_1:LOO_excl_19,138,138,0
B0,fold_1,train,A:V,40,40,fold_1:LOO_excl_40,138,138,0
B0,fold_1,train,A:V,45,45,fold_1:LOO_excl_45,138,138,0
B0,fold_1,train,B:B,53,197,fold_1:LOO_excl_53,138,138,0
B0,fold_1,train,B:B,76,220,fold_1:LOO_excl_76,138,138,0
B0,fold_1,train,B:B,89,233,fold_1:LOO_excl_89,138,138,0
B0,fold_1,train,B:B,94,238,fold_1:LOO_excl_94,138,138,0
B0,fold_1,train,B:C,62,206,fold_1:LOO_excl_62,138,138,0
B0,fold_1,train,B:C,64,208,fold_1:LOO_excl_64,138,138,0
B0,fold_1,train,B:C,86,230,fold_1:LOO_excl_86,138,138,0
B0,fold_1,train,B:C,90,234,fold_1:LOO_excl_90,138,138,0
B0,fold_1,train,B:D,51,195,fold_1:LOO_excl_51,138,138,0
B0,fold_1,train,B:D,54,198,fold_1:LOO_excl_54,138,138,0
B0,fold_1,train,B:D,68,212,fold_1:LOO_excl_68,138,138,0
B0,fold_1,train,B:D,81,225,fold_1:LOO_excl_81,138,138,0
B0,fold_1,train,B:K,55,199,fold_1:LOO_excl_55,138,138,0
B0,fold_1,train,B:K,59,203,fold_1:LOO_excl_59,138,138,0
B0,fold_1,train,B:K,78,222,fold_1:LOO_excl_78,138,138,0
B0,fold_1,train,B:K,82,226,fold_1:LOO_excl_82,138,138,0
B0,fold_1,train,B:T,60,204,fold_1:LOO_excl_60,138,138,0
B0,fold_1,train,B:T,74,218,fold_1:LOO_excl_74,138,138,0
B0,fold_1,train,B:T,88,232,fold_1:LOO_excl_88,138,138,0
B0,fold_1,train,B:T,95,239,fold_1:LOO_excl_95,138,138,0
B0,fold_1,train,B:W,50,194,fold_1:LOO_excl_50,138,138,0
B0,fold_1,train,B:W,72,216,fold_1:LOO_excl_72,138,138,0
B0,fold_1,train,B:W,77,221,fold_1:LOO_excl_77,138,138,0
B0,fold_1,train,B:W,87,231,fold_1:LOO_excl_87,138,138,0
B0,fold_1,val,A:E,9,9,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:E,38,38,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:H,18,18,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:H,21,21,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:L,7,7,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:L,29,29,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:P,11,11,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:P,37,37,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:R,5,5,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:R,44,44,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:V,31,31,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,A:V,33,33,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:B,83,227,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:B,85,229,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:C,49,193,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:C,73,217,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:D,61,205,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:D,65,209,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:K,57,201,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:K,84,228,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:T,69,213,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:T,80,224,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:W,48,192,fold_1:FULLTRAIN,144,144,0
B0,fold_1,val,B:W,63,207,fold_1:FULLTRAIN,144,144,0
B0,fold_2,test,A:E,43,43,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:E,47,47,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:H,2,2,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:H,28,28,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:L,36,36,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:L,42,42,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:P,20,20,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:P,41,41,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:R,25,25,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:R,39,39,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:V,15,15,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,A:V,19,19,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:B,53,197,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:B,89,233,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:C,62,206,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:C,90,234,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:D,68,212,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:D,81,225,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:K,59,203,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:K,82,226,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:T,60,204,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:T,95,239,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:W,72,216,fold_2:FULLTRAIN,144,144,0
B0,fold_2,test,B:W,77,221,fold_2:FULLTRAIN,144,144,0
B0,fold_2,train,A:E,6,6,fold_2:LOO_excl_6,138,138,0
B0,fold_2,train,A:E,23,23,fold_2:LOO_excl_23,138,138,0
B0,fold_2,train,A:E,26,26,fold_2:LOO_excl_26,138,138,0
B0,fold_2,train,A:E,32,32,fold_2:LOO_excl_32,138,138,0
B0,fold_2,train,A:H,10,10,fold_2:LOO_excl_10,138,138,0
B0,fold_2,train,A:H,14,14,fold_2:LOO_excl_14,138,138,0
B0,fold_2,train,A:H,24,24,fold_2:LOO_excl_24,138,138,0
B0,fold_2,train,A:H,35,35,fold_2:LOO_excl_35,138,138,0
B0,fold_2,train,A:L,0,0,fold_2:LOO_excl_0,138,138,0
B0,fold_2,train,A:L,4,4,fold_2:LOO_excl_4,138,138,0
B0,fold_2,train,A:L,12,12,fold_2:LOO_excl_12,138,138,0
B0,fold_2,train,A:L,27,27,fold_2:LOO_excl_27,138,138,0
B0,fold_2,train,A:P,8,8,fold_2:LOO_excl_8,138,138,0
B0,fold_2,train,A:P,13,13,fold_2:LOO_excl_13,138,138,0
B0,fold_2,train,A:P,16,16,fold_2:LOO_excl_16,138,138,0
B0,fold_2,train,A:P,34,34,fold_2:LOO_excl_34,138,138,0
B0,fold_2,train,A:R,17,17,fold_2:LOO_excl_17,138,138,0
B0,fold_2,train,A:R,22,22,fold_2:LOO_excl_22,138,138,0
B0,fold_2,train,A:R,30,30,fold_2:LOO_excl_30,138,138,0
B0,fold_2,train,A:R,46,46,fold_2:LOO_excl_46,138,138,0
B0,fold_2,train,A:V,1,1,fold_2:LOO_excl_1,138,138,0
B0,fold_2,train,A:V,3,3,fold_2:LOO_excl_3,138,138,0
B0,fold_2,train,A:V,40,40,fold_2:LOO_excl_40,138,138,0
B0,fold_2,train,A:V,45,45,fold_2:LOO_excl_45,138,138,0
B0,fold_2,train,B:B,66,210,fold_2:LOO_excl_66,138,138,0
B0,fold_2,train,B:B,76,220,fold_2:LOO_excl_76,138,138,0
B0,fold_2,train,B:B,79,223,fold_2:LOO_excl_79,138,138,0
B0,fold_2,train,B:B,94,238,fold_2:LOO_excl_94,138,138,0
B0,fold_2,train,B:C,58,202,fold_2:LOO_excl_58,138,138,0
B0,fold_2,train,B:C,64,208,fold_2:LOO_excl_64,138,138,0
B0,fold_2,train,B:C,71,215,fold_2:LOO_excl_71,138,138,0
B0,fold_2,train,B:C,86,230,fold_2:LOO_excl_86,138,138,0
B0,fold_2,train,B:D,51,195,fold_2:LOO_excl_51,138,138,0
B0,fold_2,train,B:D,54,198,fold_2:LOO_excl_54,138,138,0
B0,fold_2,train,B:D,70,214,fold_2:LOO_excl_70,138,138,0
B0,fold_2,train,B:D,93,237,fold_2:LOO_excl_93,138,138,0
B0,fold_2,train,B:K,55,199,fold_2:LOO_excl_55,138,138,0
B0,fold_2,train,B:K,67,211,fold_2:LOO_excl_67,138,138,0
B0,fold_2,train,B:K,78,222,fold_2:LOO_excl_78,138,138,0
B0,fold_2,train,B:K,91,235,fold_2:LOO_excl_91,138,138,0
B0,fold_2,train,B:T,52,196,fold_2:LOO_excl_52,138,138,0
B0,fold_2,train,B:T,74,218,fold_2:LOO_excl_74,138,138,0
B0,fold_2,train,B:T,88,232,fold_2:LOO_excl_88,138,138,0
B0,fold_2,train,B:T,92,236,fold_2:LOO_excl_92,138,138,0
B0,fold_2,train,B:W,50,194,fold_2:LOO_excl_50,138,138,0
B0,fold_2,train,B:W,56,200,fold_2:LOO_excl_56,138,138,0
B0,fold_2,train,B:W,75,219,fold_2:LOO_excl_75,138,138,0
B0,fold_2,train,B:W,87,231,fold_2:LOO_excl_87,138,138,0
B0,fold_2,val,A:E,9,9,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:E,38,38,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:H,18,18,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:H,21,21,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:L,7,7,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:L,29,29,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:P,11,11,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:P,37,37,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:R,5,5,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:R,44,44,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:V,31,31,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,A:V,33,33,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:B,83,227,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:B,85,229,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:C,49,193,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:C,73,217,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:D,61,205,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:D,65,209,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:K,57,201,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:K,84,228,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:T,69,213,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:T,80,224,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:W,48,192,fold_2:FULLTRAIN,144,144,0
B0,fold_2,val,B:W,63,207,fold_2:FULLTRAIN,144,144,0
B0,fold_3,test,A:E,9,9,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:E,38,38,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:H,18,18,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:H,21,21,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:L,7,7,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:L,29,29,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:P,11,11,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:P,37,37,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:R,5,5,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:R,44,44,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:V,31,31,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,A:V,33,33,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:B,83,227,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:B,85,229,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:C,49,193,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:C,73,217,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:D,61,205,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:D,65,209,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:K,57,201,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:K,84,228,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:T,69,213,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:T,80,224,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:W,48,192,fold_3:FULLTRAIN,144,144,0
B0,fold_3,test,B:W,63,207,fold_3:FULLTRAIN,144,144,0
B0,fold_3,train,A:E,6,6,fold_3:LOO_excl_6,138,138,0
B0,fold_3,train,A:E,23,23,fold_3:LOO_excl_23,138,138,0
B0,fold_3,train,A:E,26,26,fold_3:LOO_excl_26,138,138,0
B0,fold_3,train,A:E,32,32,fold_3:LOO_excl_32,138,138,0
B0,fold_3,train,A:H,10,10,fold_3:LOO_excl_10,138,138,0
B0,fold_3,train,A:H,14,14,fold_3:LOO_excl_14,138,138,0
B0,fold_3,train,A:H,24,24,fold_3:LOO_excl_24,138,138,0
B0,fold_3,train,A:H,35,35,fold_3:LOO_excl_35,138,138,0
B0,fold_3,train,A:L,0,0,fold_3:LOO_excl_0,138,138,0
B0,fold_3,train,A:L,4,4,fold_3:LOO_excl_4,138,138,0
B0,fold_3,train,A:L,12,12,fold_3:LOO_excl_12,138,138,0
B0,fold_3,train,A:L,27,27,fold_3:LOO_excl_27,138,138,0
B0,fold_3,train,A:P,8,8,fold_3:LOO_excl_8,138,138,0
B0,fold_3,train,A:P,13,13,fold_3:LOO_excl_13,138,138,0
B0,fold_3,train,A:P,16,16,fold_3:LOO_excl_16,138,138,0
B0,fold_3,train,A:P,34,34,fold_3:LOO_excl_34,138,138,0
B0,fold_3,train,A:R,17,17,fold_3:LOO_excl_17,138,138,0
B0,fold_3,train,A:R,22,22,fold_3:LOO_excl_22,138,138,0
B0,fold_3,train,A:R,30,30,fold_3:LOO_excl_30,138,138,0
B0,fold_3,train,A:R,46,46,fold_3:LOO_excl_46,138,138,0
B0,fold_3,train,A:V,1,1,fold_3:LOO_excl_1,138,138,0
B0,fold_3,train,A:V,3,3,fold_3:LOO_excl_3,138,138,0
B0,fold_3,train,A:V,40,40,fold_3:LOO_excl_40,138,138,0
B0,fold_3,train,A:V,45,45,fold_3:LOO_excl_45,138,138,0
B0,fold_3,train,B:B,66,210,fold_3:LOO_excl_66,138,138,0
B0,fold_3,train,B:B,76,220,fold_3:LOO_excl_76,138,138,0
B0,fold_3,train,B:B,79,223,fold_3:LOO_excl_79,138,138,0
B0,fold_3,train,B:B,94,238,fold_3:LOO_excl_94,138,138,0
B0,fold_3,train,B:C,58,202,fold_3:LOO_excl_58,138,138,0
B0,fold_3,train,B:C,64,208,fold_3:LOO_excl_64,138,138,0
B0,fold_3,train,B:C,71,215,fold_3:LOO_excl_71,138,138,0
B0,fold_3,train,B:C,86,230,fold_3:LOO_excl_86,138,138,0
B0,fold_3,train,B:D,51,195,fold_3:LOO_excl_51,138,138,0
B0,fold_3,train,B:D,54,198,fold_3:LOO_excl_54,138,138,0
B0,fold_3,train,B:D,70,214,fold_3:LOO_excl_70,138,138,0
B0,fold_3,train,B:D,93,237,fold_3:LOO_excl_93,138,138,0
B0,fold_3,train,B:K,55,199,fold_3:LOO_excl_55,138,138,0
B0,fold_3,train,B:K,67,211,fold_3:LOO_excl_67,138,138,0
B0,fold_3,train,B:K,78,222,fold_3:LOO_excl_78,138,138,0
B0,fold_3,train,B:K,91,235,fold_3:LOO_excl_91,138,138,0
B0,fold_3,train,B:T,52,196,fold_3:LOO_excl_52,138,138,0
B0,fold_3,train,B:T,74,218,fold_3:LOO_excl_74,138,138,0
B0,fold_3,train,B:T,88,232,fold_3:LOO_excl_88,138,138,0
B0,fold_3,train,B:T,92,236,fold_3:LOO_excl_92,138,138,0
B0,fold_3,train,B:W,50,194,fold_3:LOO_excl_50,138,138,0
B0,fold_3,train,B:W,56,200,fold_3:LOO_excl_56,138,138,0
B0,fold_3,train,B:W,75,219,fold_3:LOO_excl_75,138,138,0
B0,fold_3,train,B:W,87,231,fold_3:LOO_excl_87,138,138,0
B0,fold_3,val,A:E,43,43,fold_3:FULLTRAIN,144,144,0
B0,fold_3,val,A:E,47,47,fold_3:FULLTRAIN,144,144,0
B0,fold_3,val,A:H,2,2,fold_3:FULLTRAIN,144,144,0
B0,fold_3,val,A:H,28,28,fold_3:FULLTRAIN,144,144,0
B0,fold_3,val,A:L,36,36,fold_3:FULLTRAIN,144,144,0
B0,fold_3,val,A:L,42,42,fold_3:FULLTRAIN,144,144,0
