subj_i,subj_j,roi,component,anatomy_dist,behavior_dist,geometry_dist
subj01,subj02,ventral,OUT,1866.5985950099227,0.153923842477655,0.9165931554974026
subj01,subj03,ventral,OUT,1208.997530054997,0.6805734137467698,0.8935647357855231
subj01,subj04,ventral,OUT,1003.9158377846932,0.6763520244024503,0.8296092836891472
subj01,subj05,ventral,OUT,1696.175201458187,0.3899115421288742,0.8668405483866808
subj01,subj06,ventral,OUT,3911.2338651090363,0.8941425570244531,0.9087108349849244
subj01,subj07,ventral,OUT,1325.8720770283876,0.7488352087543266,0.918735874517303
subj01,subj08,ventral,OUT,1429.8065642958256,0.28086560003823824,0.8393639327074102
subj02,subj03,ventral,OUT,657.6010650829003,0.8000403460186594,0.8503037585089274
subj02,subj04,ventral,OUT,862.6827964244286,0.6496433722398914,0.7676351282083601
subj02,subj05,ventral,OUT,3562.7737923295704,0.44952708003873887,0.6993529619335689
subj02,subj06,ventral,OUT,2044.6352778288315,0.8881683198556285,0.8578299617050605
subj02,subj07,ventral,OUT,3192.4706517544196,0.8409459163691932,0.8831818382819295
subj02,subj08,ventral,OUT,436.79203076930685,0.4245270900405916,0.7192226637130688
subj03,subj04,ventral,OUT,205.08178958209328,0.7138157242736872,0.7814040425048797
subj03,subj05,ventral,OUT,2905.1727276112492,0.42047526419826275,0.8404544778877341
subj03,subj06,ventral,OUT,2702.2363399018695,0.7415654080041314,0.8604853377031708
subj03,subj07,ventral,OUT,2534.8695892643427,0.19632138204782723,0.8839936529294307
subj03,subj08,ventral,OUT,220.80903431609707,0.6370175300968565,0.7792847366848678
subj04,subj05,ventral,OUT,2700.0910133622738,0.38594646042281894,0.7234840181734432
subj04,subj06,ventral,OUT,2907.318071503323,0.2518281860642918,0.7934608122752259
subj04,subj07,ventral,OUT,2329.7878647247717,0.5909007879293959,0.8042523709139991
subj04,subj08,ventral,OUT,425.89078464105427,0.8907722887312601,0.6398480007676716
subj05,subj06,ventral,OUT,5607.409066009313,0.5437555034452703,0.8331979185590805
subj05,subj07,ventral,OUT,370.3031775389191,0.40284631713722474,0.8667524030369202
subj05,subj08,ventral,OUT,3125.9817618156467,0.5308045522870826,0.6873861283028763
subj06,subj07,ventral,OUT,5237.105928989641,0.5696739751129735,0.8713598392567535
subj06,subj08,ventral,OUT,2481.4273063426654,1.0742008489170243,0.7853807189920222
subj07,subj08,ventral,OUT,2755.6786226488557,0.7714735132169809,0.8140198246776568
subj01,subj02,lateral,IN,1152.78758315078,0.153923842477655,0.5728553511166868
subj01,subj03,lateral,IN,1702.0939656526675,0.6805734137467698,0.5869834923836893
subj01,subj04,lateral,IN,43.38710213635024,0.6763520244024503,0.6273678150692655
subj01,subj05,lateral,IN,1070.0447434477237,0.3899115421288742,0.5851816971932408
subj01,subj06,lateral,IN,1835.8291689546481,0.8941425570244531,0.6379045594510933
subj01,subj07,lateral,IN,1958.5001252386592,0.7488352087543266,0.6190994316814017
subj01,subj08,lateral,IN,1247.9488298010892,0.28086560003823824,0.7105991452681688
subj02,subj03,lateral,IN,2854.881548142166,0.8000403460186594,0.5701342691854917
subj02,subj04,lateral,IN,1196.173716829532,0.6496433722398914,0.6363728630904767
subj02,subj05,lateral,IN,82.74284928022153,0.44952708003873887,0.5827826605896681
subj02,subj06,lateral,IN,2988.616751787364,0.8881683198556285,0.6546112907761387
subj02,subj07,lateral,IN,805.7125512706323,0.8409459163691932,0.6499501995738018
subj02,subj08,lateral,IN,2400.736411418261,0.4245270900405916,0.7346527922304302
subj03,subj04,lateral,IN,1658.7078814586348,0.7138157242736872,0.6305613742886359
subj03,subj05,lateral,IN,2772.1387070131113,0.42047526419826275,0.5891108409868485
subj03,subj06,lateral,IN,133.73526699764227,0.7415654080041314,0.654209145337778
subj03,subj07,lateral,IN,3660.5940837968374,0.19632138204782723,0.6666659093903075
subj03,subj08,lateral,IN,454.1451670007268,0.6370175300968565,0.7133312033483814
subj04,subj05,lateral,IN,1113.4308696360886,0.38594646042281894,0.6209523426100465
subj04,subj06,lateral,IN,1792.4431051338588,0.2518281860642918,0.6868771503007046
subj04,subj07,lateral,IN,2001.8862207202908,0.5909007879293959,0.6825521104532796
subj04,subj08,lateral,IN,1204.5627907691905,0.8907722887312601,0.743769495869846
subj05,subj06,lateral,IN,2905.8739123907153,0.5437555034452703,0.6329862071252327
subj05,subj07,lateral,IN,888.4553841911784,0.40284631713722474,0.620318896579549
subj05,subj08,lateral,IN,2317.993572881723,0.5308045522870826,0.7006858498641466
subj06,subj07,lateral,IN,3794.3292929616878,0.5696739751129735,0.6782734670028921
subj06,subj08,lateral,IN,587.8803425210332,1.0742008489170243,0.7401158609866094
subj07,subj08,lateral,IN,3206.448955005976,0.7714735132169809,0.7350767597422524
subj01,subj02,lateral,OUT,1152.78758315078,0.153923842477655,0.6566293716718504
subj01,subj03,lateral,OUT,1702.0939656526675,0.6805734137467698,0.8151917933910634
subj01,subj04,lateral,OUT,43.38710213635024,0.6763520244024503,0.8512578640560333
subj01,subj05,lateral,OUT,1070.0447434477237,0.3899115421288742,0.7850371046033172
subj01,subj06,lateral,OUT,1835.8291689546481,0.8941425570244531,0.7498370976899617
subj01,subj07,lateral,OUT,1958.5001252386592,0.7488352087543266,0.8890372261904026
subj01,subj08,lateral,OUT,1247.9488298010892,0.28086560003823824,0.7314928863842599
subj02,subj03,lateral,OUT,2854.881548142166,0.8000403460186594,0.8253301991320338
subj02,subj04,lateral,OUT,1196.173716829532,0.6496433722398914,0.8629947365767818
subj02,subj05,lateral,OUT,82.74284928022153,0.44952708003873887,0.7910628489899739
subj02,subj06,lateral,OUT,2988.616751787364,0.8881683198556285,0.7569879914682661
subj02,subj07,lateral,OUT,805.7125512706323,0.8409459163691932,0.8856635506066527
subj02,subj08,lateral,OUT,2400.736411418261,0.4245270900405916,0.7050688933743152
subj03,subj04,lateral,OUT,1658.7078814586348,0.7138157242736872,0.896317876544812
subj03,subj05,lateral,OUT,2772.1387070131113,0.42047526419826275,0.852979659387273
subj03,subj06,lateral,OUT,133.73526699764227,0.7415654080041314,0.8695538776138471
subj03,subj07,lateral,OUT,3660.5940837968374,0.19632138204782723,0.9065242206203573
subj03,subj08,lateral,OUT,454.1451670007268,0.6370175300968565,0.8208734271295514
subj04,subj05,lateral,OUT,1113.4308696360886,0.38594646042281894,0.9145403347656392
subj04,subj06,lateral,OUT,1792.4431051338588,0.2518281860642918,0.9049568948309993
subj04,subj07,lateral,OUT,2001.8862207202908,0.5909007879293959,0.9583652520005909
subj04,subj08,lateral,OUT,1204.5627907691905,0.8907722887312601,0.8746686867875609
subj05,subj06,lateral,OUT,2905.8739123907153,0.5437555034452703,0.8499348504802083
subj05,subj07,lateral,OUT,888.4553841911784,0.40284631713722474,0.9265787429060298
subj05,subj08,lateral,OUT,2317.993572881723,0.5308045522870826,0.8280759965460306
subj06,subj07,lateral,OUT,3794.3292929616878,0.5696739751129735,0.9147867237767152
subj06,subj08,lateral,OUT,587.8803425210332,1.0742008489170243,0.8055202776191289
subj07,subj08,lateral,OUT,3206.448955005976,0.7714735132169809,0.8970506338987566
