participant,fold,split,identity,model,source_trial_row,source_beta_index,target_trial_row,target_beta_index,pairing_policy,root_seed_digest,child_seed_digest,derivation_version
subj01,fold_0,train,A:P,vis2img,13,13,130,610,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,e1ba44278996d958,PAIRING_V1
subj01,fold_0,train,A:P,vis2img,20,20,143,623,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,e1ba44278996d958,PAIRING_V1
subj01,fold_0,train,A:P,vis2img,41,41,127,607,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,e1ba44278996d958,PAIRING_V1
subj01,fold_0,train,A:R,vis2img,22,22,142,622,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a2734b7ca9a7bbf5,PAIRING_V1
subj01,fold_0,train,A:R,vis2img,25,25,133,613,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a2734b7ca9a7bbf5,PAIRING_V1
subj01,fold_0,train,A:R,vis2img,30,30,98,578,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a2734b7ca9a7bbf5,PAIRING_V1
subj01,fold_0,train,A:R,vis2img,39,39,105,585,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a2734b7ca9a7bbf5,PAIRING_V1
subj01,fold_0,train,A:V,vis2img,1,1,109,589,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d3a0b6e130ba689d,PAIRING_V1
subj01,fold_0,train,A:V,vis2img,3,3,106,586,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d3a0b6e130ba689d,PAIRING_V1
subj01,fold_0,train,A:V,vis2img,15,15,97,577,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d3a0b6e130ba689d,PAIRING_V1
subj01,fold_0,train,A:V,vis2img,19,19,100,580,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d3a0b6e130ba689d,PAIRING_V1
subj01,fold_0,train,B:B,vis2img,53,197,185,665,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2415496e272d9053,PAIRING_V1
subj01,fold_0,train,B:B,vis2img,66,210,191,671,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2415496e272d9053,PAIRING_V1
subj01,fold_0,train,B:B,vis2img,79,223,144,624,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2415496e272d9053,PAIRING_V1
subj01,fold_0,train,B:B,vis2img,89,233,161,641,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2415496e272d9053,PAIRING_V1
subj01,fold_0,train,B:C,vis2img,58,202,156,636,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,153dfe8e041a969d,PAIRING_V1
subj01,fold_0,train,B:C,vis2img,62,206,146,626,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,153dfe8e041a969d,PAIRING_V1
subj01,fold_0,train,B:C,vis2img,71,215,148,628,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,153dfe8e041a969d,PAIRING_V1
subj01,fold_0,train,B:C,vis2img,90,234,151,631,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,153dfe8e041a969d,PAIRING_V1
subj01,fold_0,train,B:D,vis2img,68,212,150,630,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1cd4ef5276295a77,PAIRING_V1
subj01,fold_0,train,B:D,vis2img,70,214,169,649,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1cd4ef5276295a77,PAIRING_V1
subj01,fold_0,train,B:D,vis2img,81,225,188,668,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1cd4ef5276295a77,PAIRING_V1
subj01,fold_0,train,B:D,vis2img,93,237,184,664,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1cd4ef5276295a77,PAIRING_V1
subj01,fold_0,train,B:K,vis2img,59,203,149,629,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,f11c40d5a1296cc7,PAIRING_V1
subj01,fold_0,train,B:K,vis2img,67,211,178,658,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,f11c40d5a1296cc7,PAIRING_V1
subj01,fold_0,train,B:K,vis2img,82,226,187,667,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,f11c40d5a1296cc7,PAIRING_V1
subj01,fold_0,train,B:K,vis2img,91,235,189,669,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,f11c40d5a1296cc7,PAIRING_V1
subj01,fold_0,train,B:T,vis2img,52,196,159,639,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ddabbaaa7dc4fd2d,PAIRING_V1
subj01,fold_0,train,B:T,vis2img,60,204,170,650,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ddabbaaa7dc4fd2d,PAIRING_V1
subj01,fold_0,train,B:T,vis2img,92,236,162,642,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ddabbaaa7dc4fd2d,PAIRING_V1
subj01,fold_0,train,B:T,vis2img,95,239,190,670,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ddabbaaa7dc4fd2d,PAIRING_V1
subj01,fold_0,train,B:W,vis2img,56,200,164,644,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9ecff04ec1973a8d,PAIRING_V1
subj01,fold_0,train,B:W,vis2img,72,216,177,657,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9ecff04ec1973a8d,PAIRING_V1
subj01,fold_0,train,B:W,vis2img,75,219,175,655,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9ecff04ec1973a8d,PAIRING_V1
subj01,fold_0,train,B:W,vis2img,77,221,181,661,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9ecff04ec1973a8d,PAIRING_V1
subj01,fold_0,val,A:E,vis2img,9,9,123,603,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d74fdc0f8d0187cd,PAIRING_V1
subj01,fold_0,val,A:E,vis2img,38,38,107,587,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d74fdc0f8d0187cd,PAIRING_V1
subj01,fold_0,val,A:H,vis2img,18,18,104,584,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,cbc2006c90352700,PAIRING_V1
subj01,fold_0,val,A:H,vis2img,21,21,121,601,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,cbc2006c90352700,PAIRING_V1
subj01,fold_0,val,A:L,vis2img,7,7,115,595,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b805eb19d23d2423,PAIRING_V1
subj01,fold_0,val,A:L,vis2img,29,29,99,579,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b805eb19d23d2423,PAIRING_V1
subj01,fold_0,val,A:P,vis2img,11,11,122,602,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1a86744827c9477a,PAIRING_V1
subj01,fold_0,val,A:P,vis2img,37,37,141,621,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1a86744827c9477a,PAIRING_V1
subj01,fold_0,val,A:R,vis2img,5,5,136,616,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d54a3df5dacf4950,PAIRING_V1
subj01,fold_0,val,A:R,vis2img,44,44,103,583,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d54a3df5dacf4950,PAIRING_V1
subj01,fold_0,val,A:V,vis2img,31,31,128,608,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,6744dfb0ebbd1b98,PAIRING_V1
subj01,fold_0,val,A:V,vis2img,33,33,132,612,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,6744dfb0ebbd1b98,PAIRING_V1
subj01,fold_0,val,B:B,vis2img,83,227,179,659,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,6a764f3a0b8298a1,PAIRING_V1
subj01,fold_0,val,B:B,vis2img,85,229,173,653,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,6a764f3a0b8298a1,PAIRING_V1
subj01,fold_0,val,B:C,vis2img,49,193,186,666,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,66c047af6904a824,PAIRING_V1
subj01,fold_0,val,B:C,vis2img,73,217,158,638,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,66c047af6904a824,PAIRING_V1
subj01,fold_0,val,B:D,vis2img,61,205,155,635,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,26e207d46c3f9628,PAIRING_V1
subj01,fold_0,val,B:D,vis2img,65,209,174,654,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,26e207d46c3f9628,PAIRING_V1
subj01,fold_0,val,B:K,vis2img,57,201,154,634,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,3b0808cb8a2478d0,PAIRING_V1
subj01,fold_0,val,B:K,vis2img,84,228,152,632,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,3b0808cb8a2478d0,PAIRING_V1
subj01,fold_0,val,B:T,vis2img,69,213,147,627,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,5d16eef6c280cb65,PAIRING_V1
subj01,fold_0,val,B:T,vis2img,80,224,166,646,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,5d16eef6c280cb65,PAIRING_V1
subj01,fold_0,val,B:W,vis2img,48,192,183,663,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,69407fab38b714cf,PAIRING_V1
subj01,fold_0,val,B:W,vis2img,63,207,145,625,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,69407fab38b714cf,PAIRING_V1
subj01,fold_0,test,A:E,vis2img,6,6,114,594,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2106005584ccba9a,PAIRING_V1
subj01,fold_0,test,A:E,vis2img,23,23,138,618,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2106005584ccba9a,PAIRING_V1
subj01,fold_0,test,A:H,vis2img,24,24,113,593,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2baecbb9e0d8c722,PAIRING_V1
subj01,fold_0,test,A:H,vis2img,35,35,119,599,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2baecbb9e0d8c722,PAIRING_V1
subj01,fold_0,test,A:L,vis2img,0,0,131,611,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9e4543ff2b1e0f97,PAIRING_V1
subj01,fold_0,test,A:L,vis2img,4,4,110,590,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9e4543ff2b1e0f97,PAIRING_V1
subj01,fold_0,test,A:P,vis2img,16,16,101,581,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,319a0b0281b67c6a,PAIRING_V1
subj01,fold_0,test,A:P,vis2img,34,34,139,619,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,319a0b0281b67c6a,PAIRING_V1
subj01,fold_0,test,A:R,vis2img,17,17,124,604,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ebe5aba22ffe5749,PAIRING_V1
subj01,fold_0,test,A:R,vis2img,46,46,108,588,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ebe5aba22ffe5749,PAIRING_V1
subj01,fold_0,test,A:V,vis2img,40,40,137,617,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,5b92d63adbf3cff6,PAIRING_V1
subj01,fold_0,test,A:V,vis2img,45,45,102,582,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,5b92d63adbf3cff6,PAIRING_V1
subj01,fold_0,test,B:B,vis2img,76,220,167,647,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,96dc902044b707c8,PAIRING_V1
subj01,fold_0,test,B:B,vis2img,94,238,165,645,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,96dc902044b707c8,PAIRING_V1
subj01,fold_0,test,B:C,vis2img,64,208,172,652,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,c5b64409554afeb3,PAIRING_V1
subj01,fold_0,test,B:C,vis2img,86,230,163,643,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,c5b64409554afeb3,PAIRING_V1
subj01,fold_0,test,B:D,vis2img,51,195,160,640,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d2e58ab0a225fa2f,PAIRING_V1
subj01,fold_0,test,B:D,vis2img,54,198,157,637,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d2e58ab0a225fa2f,PAIRING_V1
subj01,fold_0,test,B:K,vis2img,55,199,176,656,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1c54c7457c5718da,PAIRING_V1
subj01,fold_0,test,B:K,vis2img,78,222,168,648,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1c54c7457c5718da,PAIRING_V1
subj01,fold_0,test,B:T,vis2img,74,218,180,660,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a19c8e65eee3d242,PAIRING_V1
subj01,fold_0,test,B:T,vis2img,88,232,182,662,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a19c8e65eee3d242,PAIRING_V1
subj01,fold_0,test,B:W,vis2img,50,194,171,651,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,7fd85721f7eb5225,PAIRING_V1
subj01,fold_0,test,B:W,vis2img,87,231,153,633,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,7fd85721f7eb5225,PAIRING_V1
subj01,fold_1,train,A:E,vis2img,6,6,138,618,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a035671b239a8c66,PAIRING_V1
subj01,fold_1,train,A:E,vis2img,23,23,114,594,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a035671b239a8c66,PAIRING_V1
subj01,fold_1,train,A:E,vis2img,43,43,118,598,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a035671b239a8c66,PAIRING_V1
subj01,fold_1,train,A:E,vis2img,47,47,120,600,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,a035671b239a8c66,PAIRING_V1
subj01,fold_1,train,A:H,vis2img,2,2,140,620,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,5d0107dc873bf455,PAIRING_V1
subj01,fold_1,train,A:H,vis2img,24,24,119,599,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,5d0107dc873bf455,PAIRING_V1
subj01,fold_1,train,A:H,vis2img,28,28,129,609,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,5d0107dc873bf455,PAIRING_V1
subj01,fold_1,train,A:H,vis2img,35,35,113,593,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,5d0107dc873bf455,PAIRING_V1
subj01,fold_1,train,A:L,vis2img,0,0,131,611,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b4b8671cf30e184c,PAIRING_V1
subj01,fold_1,train,A:L,vis2img,4,4,110,590,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b4b8671cf30e184c,PAIRING_V1
subj01,fold_1,train,A:L,vis2img,36,36,135,615,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b4b8671cf30e184c,PAIRING_V1
subj01,fold_1,train,A:L,vis2img,42,42,117,597,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b4b8671cf30e184c,PAIRING_V1
subj01,fold_1,train,A:P,vis2img,16,16,143,623,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d11b4b947f3c2c0d,PAIRING_V1
subj01,fold_1,train,A:P,vis2img,20,20,139,619,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d11b4b947f3c2c0d,PAIRING_V1
subj01,fold_1,train,A:P,vis2img,34,34,101,581,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d11b4b947f3c2c0d,PAIRING_V1
subj01,fold_1,train,A:P,vis2img,41,41,112,592,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,d11b4b947f3c2c0d,PAIRING_V1
subj01,fold_1,train,A:R,vis2img,17,17,133,613,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,c740f5bd0192bf2f,PAIRING_V1
subj01,fold_1,train,A:R,vis2img,25,25,142,622,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,c740f5bd0192bf2f,PAIRING_V1
subj01,fold_1,train,A:R,vis2img,39,39,108,588,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,c740f5bd0192bf2f,PAIRING_V1
subj01,fold_1,train,A:R,vis2img,46,46,124,604,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,c740f5bd0192bf2f,PAIRING_V1
subj01,fold_1,train,A:V,vis2img,15,15,137,617,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,7625dd1dd67763fb,PAIRING_V1
subj01,fold_1,train,A:V,vis2img,19,19,102,582,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,7625dd1dd67763fb,PAIRING_V1
subj01,fold_1,train,A:V,vis2img,40,40,100,580,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,7625dd1dd67763fb,PAIRING_V1
subj01,fold_1,train,A:V,vis2img,45,45,106,586,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,7625dd1dd67763fb,PAIRING_V1
subj01,fold_1,train,B:B,vis2img,53,197,165,645,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9b90e8245a0661df,PAIRING_V1
subj01,fold_1,train,B:B,vis2img,76,220,167,647,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9b90e8245a0661df,PAIRING_V1
subj01,fold_1,train,B:B,vis2img,89,233,185,665,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9b90e8245a0661df,PAIRING_V1
subj01,fold_1,train,B:B,vis2img,94,238,161,641,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,9b90e8245a0661df,PAIRING_V1
subj01,fold_1,train,B:C,vis2img,62,206,172,652,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,8c3c00e487a06477,PAIRING_V1
subj01,fold_1,train,B:C,vis2img,64,208,146,626,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,8c3c00e487a06477,PAIRING_V1
subj01,fold_1,train,B:C,vis2img,86,230,148,628,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,8c3c00e487a06477,PAIRING_V1
subj01,fold_1,train,B:C,vis2img,90,234,163,643,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,8c3c00e487a06477,PAIRING_V1
subj01,fold_1,train,B:D,vis2img,51,195,157,637,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,964d3697dda67387,PAIRING_V1
subj01,fold_1,train,B:D,vis2img,54,198,188,668,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,964d3697dda67387,PAIRING_V1
subj01,fold_1,train,B:D,vis2img,68,212,169,649,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,964d3697dda67387,PAIRING_V1
subj01,fold_1,train,B:D,vis2img,81,225,160,640,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,964d3697dda67387,PAIRING_V1
subj01,fold_1,train,B:K,vis2img,55,199,168,648,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b059ce52274df19b,PAIRING_V1
subj01,fold_1,train,B:K,vis2img,59,203,189,669,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b059ce52274df19b,PAIRING_V1
subj01,fold_1,train,B:K,vis2img,78,222,176,656,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b059ce52274df19b,PAIRING_V1
subj01,fold_1,train,B:K,vis2img,82,226,149,629,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,b059ce52274df19b,PAIRING_V1
subj01,fold_1,train,B:T,vis2img,60,204,170,650,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,061578cb4056df75,PAIRING_V1
subj01,fold_1,train,B:T,vis2img,74,218,159,639,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,061578cb4056df75,PAIRING_V1
subj01,fold_1,train,B:T,vis2img,88,232,182,662,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,061578cb4056df75,PAIRING_V1
subj01,fold_1,train,B:T,vis2img,95,239,180,660,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,061578cb4056df75,PAIRING_V1
subj01,fold_1,train,B:W,vis2img,50,194,171,651,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1da2d758e4e9f0d5,PAIRING_V1
subj01,fold_1,train,B:W,vis2img,72,216,164,644,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1da2d758e4e9f0d5,PAIRING_V1
subj01,fold_1,train,B:W,vis2img,77,221,153,633,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1da2d758e4e9f0d5,PAIRING_V1
subj01,fold_1,train,B:W,vis2img,87,231,175,655,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,1da2d758e4e9f0d5,PAIRING_V1
subj01,fold_1,val,A:E,vis2img,9,9,123,603,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2307bc3f7aa1b49b,PAIRING_V1
subj01,fold_1,val,A:E,vis2img,38,38,107,587,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,2307bc3f7aa1b49b,PAIRING_V1
subj01,fold_1,val,A:H,vis2img,18,18,121,601,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,497ea2ce03826488,PAIRING_V1
subj01,fold_1,val,A:H,vis2img,21,21,104,584,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,497ea2ce03826488,PAIRING_V1
subj01,fold_1,val,A:L,vis2img,7,7,115,595,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,99b815823634f41b,PAIRING_V1
subj01,fold_1,val,A:L,vis2img,29,29,99,579,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,99b815823634f41b,PAIRING_V1
subj01,fold_1,val,A:P,vis2img,11,11,141,621,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,c1779f8f533979e0,PAIRING_V1
subj01,fold_1,val,A:P,vis2img,37,37,122,602,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,c1779f8f533979e0,PAIRING_V1
subj01,fold_1,val,A:R,vis2img,5,5,136,616,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,17cc28ace3e6f41b,PAIRING_V1
subj01,fold_1,val,A:R,vis2img,44,44,103,583,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,17cc28ace3e6f41b,PAIRING_V1
