participant,ROI,beta,fold,self_target,self_source,val_test_in_training,cross_identity_target,training_row_not_train_split,n_denoised_records
subj01,parietal,B1,1,0,0,0,0,0,96
subj01,parietal,B1,2,0,0,0,0,0,96
subj01,parietal,B1,3,0,0,0,0,0,96
subj02,V1,B0,0,0,0,0,0,0,96
subj02,V1,B0,1,0,0,0,0,0,96
subj02,V1,B0,2,0,0,0,0,0,96
subj02,V1,B0,3,0,0,0,0,0,96
subj02,V1,B1,0,0,0,0,0,0,96
subj02,V1,B1,1,0,0,0,0,0,96
subj02,V1,B1,2,0,0,0,0,0,96
subj02,V1,B1,3,0,0,0,0,0,96
subj02,V2,B0,0,0,0,0,0,0,96
subj02,V2,B0,1,0,0,0,0,0,96
subj02,V2,B0,2,0,0,0,0,0,96
subj02,V2,B0,3,0,0,0,0,0,96
subj02,V2,B1,0,0,0,0,0,0,96
subj02,V2,B1,1,0,0,0,0,0,96
subj02,V2,B1,2,0,0,0,0,0,96
subj02,V2,B1,3,0,0,0,0,0,96
subj02,V3,B0,0,0,0,0,0,0,96
subj02,V3,B0,1,0,0,0,0,0,96
subj02,V3,B0,2,0,0,0,0,0,96
subj02,V3,B0,3,0,0,0,0,0,96
subj02,V3,B1,0,0,0,0,0,0,96
subj02,V3,B1,1,0,0,0,0,0,96
subj02,V3,B1,2,0,0,0,0,0,96
subj02,V3,B1,3,0,0,0,0,0,96
subj02,hV4,B0,0,0,0,0,0,0,96
subj02,hV4,B0,1,0,0,0,0,0,96
subj02,hV4,B0,2,0,0,0,0,0,96
subj02,hV4,B0,3,0,0,0,0,0,96
subj02,hV4,B1,0,0,0,0,0,0,96
subj02,hV4,B1,1,0,0,0,0,0,96
subj02,hV4,B1,2,0,0,0,0,0,96
subj02,hV4,B1,3,0,0,0,0,0,96
subj02,ventral,B0,0,0,0,0,0,0,96
subj02,ventral,B0,1,0,0,0,0,0,96
subj02,ventral,B0,2,0,0,0,0,0,96
subj02,ventral,B0,3,0,0,0,0,0,96
subj02,ventral,B1,0,0,0,0,0,0,96
subj02,ventral,B1,1,0,0,0,0,0,96
subj02,ventral,B1,2,0,0,0,0,0,96
subj02,ventral,B1,3,0,0,0,0,0,96
subj02,lateral,B0,0,0,0,0,0,0,96
subj02,lateral,B0,1,0,0,0,0,0,96
subj02,lateral,B0,2,0,0,0,0,0,96
subj02,lateral,B0,3,0,0,0,0,0,96
subj02,lateral,B1,0,0,0,0,0,0,96
subj02,lateral,B1,1,0,0,0,0,0,96
subj02,lateral,B1,2,0,0,0,0,0,96
subj02,lateral,B1,3,0,0,0,0,0,96
subj02,parietal,B0,0,0,0,0,0,0,96
subj02,parietal,B0,1,0,0,0,0,0,96
subj02,parietal,B0,2,0,0,0,0,0,96
subj02,parietal,B0,3,0,0,0,0,0,96
subj02,parietal,B1,0,0,0,0,0,0,96
subj02,parietal,B1,1,0,0,0,0,0,96
subj02,parietal,B1,2,0,0,0,0,0,96
subj02,parietal,B1,3,0,0,0,0,0,96
subj03,V1,B0,0,0,0,0,0,0,96
subj03,V1,B0,1,0,0,0,0,0,96
subj03,V1,B0,2,0,0,0,0,0,96
subj03,V1,B0,3,0,0,0,0,0,96
subj03,V1,B1,0,0,0,0,0,0,96
subj03,V1,B1,1,0,0,0,0,0,96
subj03,V1,B1,2,0,0,0,0,0,96
subj03,V1,B1,3,0,0,0,0,0,96
subj03,V2,B0,0,0,0,0,0,0,96
subj03,V2,B0,1,0,0,0,0,0,96
subj03,V2,B0,2,0,0,0,0,0,96
subj03,V2,B0,3,0,0,0,0,0,96
subj03,V2,B1,0,0,0,0,0,0,96
subj03,V2,B1,1,0,0,0,0,0,96
subj03,V2,B1,2,0,0,0,0,0,96
subj03,V2,B1,3,0,0,0,0,0,96
subj03,V3,B0,0,0,0,0,0,0,96
subj03,V3,B0,1,0,0,0,0,0,96
subj03,V3,B0,2,0,0,0,0,0,96
subj03,V3,B0,3,0,0,0,0,0,96
subj03,V3,B1,0,0,0,0,0,0,96
subj03,V3,B1,1,0,0,0,0,0,96
subj03,V3,B1,2,0,0,0,0,0,96
subj03,V3,B1,3,0,0,0,0,0,96
subj03,hV4,B0,0,0,0,0,0,0,96
subj03,hV4,B0,1,0,0,0,0,0,96
subj03,hV4,B0,2,0,0,0,0,0,96
subj03,hV4,B0,3,0,0,0,0,0,96
subj03,hV4,B1,0,0,0,0,0,0,96
subj03,hV4,B1,1,0,0,0,0,0,96
subj03,hV4,B1,2,0,0,0,0,0,96
subj03,hV4,B1,3,0,0,0,0,0,96
subj03,ventral,B0,0,0,0,0,0,0,96
subj03,ventral,B0,1,0,0,0,0,0,96
subj03,ventral,B0,2,0,0,0,0,0,96
subj03,ventral,B0,3,0,0,0,0,0,96
subj03,ventral,B1,0,0,0,0,0,0,96
subj03,ventral,B1,1,0,0,0,0,0,96
subj03,ventral,B1,2,0,0,0,0,0,96
subj03,ventral,B1,3,0,0,0,0,0,96
subj03,lateral,B0,0,0,0,0,0,0,96
subj03,lateral,B0,1,0,0,0,0,0,96
subj03,lateral,B0,2,0,0,0,0,0,96
subj03,lateral,B0,3,0,0,0,0,0,96
subj03,lateral,B1,0,0,0,0,0,0,96
subj03,lateral,B1,1,0,0,0,0,0,96
subj03,lateral,B1,2,0,0,0,0,0,96
subj03,lateral,B1,3,0,0,0,0,0,96
subj03,parietal,B0,0,0,0,0,0,0,96
subj03,parietal,B0,1,0,0,0,0,0,96
subj03,parietal,B0,2,0,0,0,0,0,96
subj03,parietal,B0,3,0,0,0,0,0,96
subj03,parietal,B1,0,0,0,0,0,0,96
subj03,parietal,B1,1,0,0,0,0,0,96
subj03,parietal,B1,2,0,0,0,0,0,96
subj03,parietal,B1,3,0,0,0,0,0,96
subj04,V1,B0,0,0,0,0,0,0,96
subj04,V1,B0,1,0,0,0,0,0,96
subj04,V1,B0,2,0,0,0,0,0,96
subj04,V1,B0,3,0,0,0,0,0,96
subj04,V1,B1,0,0,0,0,0,0,96
subj04,V1,B1,1,0,0,0,0,0,96
subj04,V1,B1,2,0,0,0,0,0,96
subj04,V1,B1,3,0,0,0,0,0,96
subj04,V2,B0,0,0,0,0,0,0,96
subj04,V2,B0,1,0,0,0,0,0,96
subj04,V2,B0,2,0,0,0,0,0,96
subj04,V2,B0,3,0,0,0,0,0,96
subj04,V2,B1,0,0,0,0,0,0,96
subj04,V2,B1,1,0,0,0,0,0,96
subj04,V2,B1,2,0,0,0,0,0,96
subj04,V2,B1,3,0,0,0,0,0,96
subj04,V3,B0,0,0,0,0,0,0,96
subj04,V3,B0,1,0,0,0,0,0,96
subj04,V3,B0,2,0,0,0,0,0,96
subj04,V3,B0,3,0,0,0,0,0,96
subj04,V3,B1,0,0,0,0,0,0,96
subj04,V3,B1,1,0,0,0,0,0,96
subj04,V3,B1,2,0,0,0,0,0,96
subj04,V3,B1,3,0,0,0,0,0,96
subj04,hV4,B0,0,0,0,0,0,0,96
subj04,hV4,B0,1,0,0,0,0,0,96
subj04,hV4,B0,2,0,0,0,0,0,96
subj04,hV4,B0,3,0,0,0,0,0,96
subj04,hV4,B1,0,0,0,0,0,0,96
subj04,hV4,B1,1,0,0,0,0,0,96
subj04,hV4,B1,2,0,0,0,0,0,96
subj04,hV4,B1,3,0,0,0,0,0,96
subj04,ventral,B0,0,0,0,0,0,0,96
subj04,ventral,B0,1,0,0,0,0,0,96
subj04,ventral,B0,2,0,0,0,0,0,96
subj04,ventral,B0,3,0,0,0,0,0,96
subj04,ventral,B1,0,0,0,0,0,0,96
subj04,ventral,B1,1,0,0,0,0,0,96
subj04,ventral,B1,2,0,0,0,0,0,96
subj04,ventral,B1,3,0,0,0,0,0,96
subj04,lateral,B0,0,0,0,0,0,0,96
subj04,lateral,B0,1,0,0,0,0,0,96
subj04,lateral,B0,2,0,0,0,0,0,96
subj04,lateral,B0,3,0,0,0,0,0,96
subj04,lateral,B1,0,0,0,0,0,0,96
subj04,lateral,B1,1,0,0,0,0,0,96
subj04,lateral,B1,2,0,0,0,0,0,96
subj04,lateral,B1,3,0,0,0,0,0,96
subj04,parietal,B0,0,0,0,0,0,0,96
subj04,parietal,B0,1,0,0,0,0,0,96
subj04,parietal,B0,2,0,0,0,0,0,96
subj04,parietal,B0,3,0,0,0,0,0,96
subj04,parietal,B1,0,0,0,0,0,0,96
subj04,parietal,B1,1,0,0,0,0,0,96
subj04,parietal,B1,2,0,0,0,0,0,96
subj04,parietal,B1,3,0,0,0,0,0,96
subj05,V1,B0,0,0,0,0,0,0,96
subj05,V1,B0,1,0,0,0,0,0,96
subj05,V1,B0,2,0,0,0,0,0,96
subj05,V1,B0,3,0,0,0,0,0,96
subj05,V1,B1,0,0,0,0,0,0,96
subj05,V1,B1,1,0,0,0,0,0,96
subj05,V1,B1,2,0,0,0,0,0,96
subj05,V1,B1,3,0,0,0,0,0,96
subj05,V2,B0,0,0,0,0,0,0,96
subj05,V2,B0,1,0,0,0,0,0,96
subj05,V2,B0,2,0,0,0,0,0,96
subj05,V2,B0,3,0,0,0,0,0,96
subj05,V2,B1,0,0,0,0,0,0,96
subj05,V2,B1,1,0,0,0,0,0,96
subj05,V2,B1,2,0,0,0,0,0,96
subj05,V2,B1,3,0,0,0,0,0,96
subj05,V3,B0,0,0,0,0,0,0,96
subj05,V3,B0,1,0,0,0,0,0,96
subj05,V3,B0,2,0,0,0,0,0,96
subj05,V3,B0,3,0,0,0,0,0,96
subj05,V3,B1,0,0,0,0,0,0,96
subj05,V3,B1,1,0,0,0,0,0,96
subj05,V3,B1,2,0,0,0,0,0,96
subj05,V3,B1,3,0,0,0,0,0,96
subj05,hV4,B0,0,0,0,0,0,0,96
subj05,hV4,B0,1,0,0,0,0,0,96
subj05,hV4,B0,2,0,0,0,0,0,96
subj05,hV4,B0,3,0,0,0,0,0,96
subj05,hV4,B1,0,0,0,0,0,0,96
subj05,hV4,B1,1,0,0,0,0,0,96
subj05,hV4,B1,2,0,0,0,0,0,96
subj05,hV4,B1,3,0,0,0,0,0,96
subj05,ventral,B0,0,0,0,0,0,0,96
subj05,ventral,B0,1,0,0,0,0,0,96
subj05,ventral,B0,2,0,0,0,0,0,96
subj05,ventral,B0,3,0,0,0,0,0,96
subj05,ventral,B1,0,0,0,0,0,0,96
subj05,ventral,B1,1,0,0,0,0,0,96
subj05,ventral,B1,2,0,0,0,0,0,96
subj05,ventral,B1,3,0,0,0,0,0,96
subj05,lateral,B0,0,0,0,0,0,0,96
subj05,lateral,B0,1,0,0,0,0,0,96
subj05,lateral,B0,2,0,0,0,0,0,96
subj05,lateral,B0,3,0,0,0,0,0,96
subj05,lateral,B1,0,0,0,0,0,0,96
subj05,lateral,B1,1,0,0,0,0,0,96
subj05,lateral,B1,2,0,0,0,0,0,96
subj05,lateral,B1,3,0,0,0,0,0,96
subj05,parietal,B0,0,0,0,0,0,0,96
subj05,parietal,B0,1,0,0,0,0,0,96
subj05,parietal,B0,2,0,0,0,0,0,96
subj05,parietal,B0,3,0,0,0,0,0,96
subj05,parietal,B1,0,0,0,0,0,0,96
subj05,parietal,B1,1,0,0,0,0,0,96
subj05,parietal,B1,2,0,0,0,0,0,96
subj05,parietal,B1,3,0,0,0,0,0,96
subj06,V1,B0,0,0,0,0,0,0,96
subj06,V1,B0,1,0,0,0,0,0,96
subj06,V1,B0,2,0,0,0,0,0,96
subj06,V1,B0,3,0,0,0,0,0,96
subj06,V1,B1,0,0,0,0,0,0,96
subj06,V1,B1,1,0,0,0,0,0,96
subj06,V1,B1,2,0,0,0,0,0,96
subj06,V1,B1,3,0,0,0,0,0,96
subj06,V2,B0,0,0,0,0,0,0,96
subj06,V2,B0,1,0,0,0,0,0,96
subj06,V2,B0,2,0,0,0,0,0,96
subj06,V2,B0,3,0,0,0,0,0,96
subj06,V2,B1,0,0,0,0,0,0,96
subj06,V2,B1,1,0,0,0,0,0,96
subj06,V2,B1,2,0,0,0,0,0,96
subj06,V2,B1,3,0,0,0,0,0,96
subj06,V3,B0,0,0,0,0,0,0,96
subj06,V3,B0,1,0,0,0,0,0,96
subj06,V3,B0,2,0,0,0,0,0,96
subj06,V3,B0,3,0,0,0,0,0,96
subj06,V3,B1,0,0,0,0,0,0,96
subj06,V3,B1,1,0,0,0,0,0,96
subj06,V3,B1,2,0,0,0,0,0,96
subj06,V3,B1,3,0,0,0,0,0,96
subj06,hV4,B0,0,0,0,0,0,0,96
subj06,hV4,B0,1,0,0,0,0,0,96
subj06,hV4,B0,2,0,0,0,0,0,96
subj06,hV4,B0,3,0,0,0,0,0,96
subj06,hV4,B1,0,0,0,0,0,0,96
subj06,hV4,B1,1,0,0,0,0,0,96
subj06,hV4,B1,2,0,0,0,0,0,96
subj06,hV4,B1,3,0,0,0,0,0,96
subj06,ventral,B0,0,0,0,0,0,0,96
subj06,ventral,B0,1,0,0,0,0,0,96
subj06,ventral,B0,2,0,0,0,0,0,96
subj06,ventral,B0,3,0,0,0,0,0,96
subj06,ventral,B1,0,0,0,0,0,0,96
subj06,ventral,B1,1,0,0,0,0,0,96
subj06,ventral,B1,2,0,0,0,0,0,96
subj06,ventral,B1,3,0,0,0,0,0,96
subj06,lateral,B0,0,0,0,0,0,0,96
subj06,lateral,B0,1,0,0,0,0,0,96
subj06,lateral,B0,2,0,0,0,0,0,96
subj06,lateral,B0,3,0,0,0,0,0,96
subj06,lateral,B1,0,0,0,0,0,0,96
subj06,lateral,B1,1,0,0,0,0,0,96
subj06,lateral,B1,2,0,0,0,0,0,96
subj06,lateral,B1,3,0,0,0,0,0,96
subj06,parietal,B0,0,0,0,0,0,0,96
subj06,parietal,B0,1,0,0,0,0,0,96
subj06,parietal,B0,2,0,0,0,0,0,96
subj06,parietal,B0,3,0,0,0,0,0,96
subj06,parietal,B1,0,0,0,0,0,0,96
subj06,parietal,B1,1,0,0,0,0,0,96
subj06,parietal,B1,2,0,0,0,0,0,96
subj06,parietal,B1,3,0,0,0,0,0,96
subj07,V1,B0,0,0,0,0,0,0,96
subj07,V1,B0,1,0,0,0,0,0,96
subj07,V1,B0,2,0,0,0,0,0,96
subj07,V1,B0,3,0,0,0,0,0,96
subj07,V1,B1,0,0,0,0,0,0,96
subj07,V1,B1,1,0,0,0,0,0,96
subj07,V1,B1,2,0,0,0,0,0,96
subj07,V1,B1,3,0,0,0,0,0,96
subj07,V2,B0,0,0,0,0,0,0,96
subj07,V2,B0,1,0,0,0,0,0,96
subj07,V2,B0,2,0,0,0,0,0,96
subj07,V2,B0,3,0,0,0,0,0,96
subj07,V2,B1,0,0,0,0,0,0,96
subj07,V2,B1,1,0,0,0,0,0,96
subj07,V2,B1,2,0,0,0,0,0,96
subj07,V2,B1,3,0,0,0,0,0,96
subj07,V3,B0,0,0,0,0,0,0,96
subj07,V3,B0,1,0,0,0,0,0,96
subj07,V3,B0,2,0,0,0,0,0,96
subj07,V3,B0,3,0,0,0,0,0,96
subj07,V3,B1,0,0,0,0,0,0,96
subj07,V3,B1,1,0,0,0,0,0,96
subj07,V3,B1,2,0,0,0,0,0,96
subj07,V3,B1,3,0,0,0,0,0,96
subj07,hV4,B0,0,0,0,0,0,0,96
subj07,hV4,B0,1,0,0,0,0,0,96
subj07,hV4,B0,2,0,0,0,0,0,96
subj07,hV4,B0,3,0,0,0,0,0,96
subj07,hV4,B1,0,0,0,0,0,0,96
subj07,hV4,B1,1,0,0,0,0,0,96
subj07,hV4,B1,2,0,0,0,0,0,96
subj07,hV4,B1,3,0,0,0,0,0,96
subj07,ventral,B0,0,0,0,0,0,0,96
subj07,ventral,B0,1,0,0,0,0,0,96
subj07,ventral,B0,2,0,0,0,0,0,96
subj07,ventral,B0,3,0,0,0,0,0,96
subj07,ventral,B1,0,0,0,0,0,0,96
subj07,ventral,B1,1,0,0,0,0,0,96
subj07,ventral,B1,2,0,0,0,0,0,96
subj07,ventral,B1,3,0,0,0,0,0,96
subj07,lateral,B0,0,0,0,0,0,0,96
subj07,lateral,B0,1,0,0,0,0,0,96
subj07,lateral,B0,2,0,0,0,0,0,96
subj07,lateral,B0,3,0,0,0,0,0,96
subj07,lateral,B1,0,0,0,0,0,0,96
subj07,lateral,B1,1,0,0,0,0,0,96
subj07,lateral,B1,2,0,0,0,0,0,96
subj07,lateral,B1,3,0,0,0,0,0,96
subj07,parietal,B0,0,0,0,0,0,0,96
subj07,parietal,B0,1,0,0,0,0,0,96
subj07,parietal,B0,2,0,0,0,0,0,96
subj07,parietal,B0,3,0,0,0,0,0,96
subj07,parietal,B1,0,0,0,0,0,0,96
subj07,parietal,B1,1,0,0,0,0,0,96
subj07,parietal,B1,2,0,0,0,0,0,96
subj07,parietal,B1,3,0,0,0,0,0,96
subj08,V1,B0,0,0,0,0,0,0,96
subj08,V1,B0,1,0,0,0,0,0,96
subj08,V1,B0,2,0,0,0,0,0,96
subj08,V1,B0,3,0,0,0,0,0,96
subj08,V1,B1,0,0,0,0,0,0,96
subj08,V1,B1,1,0,0,0,0,0,96
subj08,V1,B1,2,0,0,0,0,0,96
subj08,V1,B1,3,0,0,0,0,0,96
subj08,V2,B0,0,0,0,0,0,0,96
subj08,V2,B0,1,0,0,0,0,0,96
subj08,V2,B0,2,0,0,0,0,0,96
subj08,V2,B0,3,0,0,0,0,0,96
subj08,V2,B1,0,0,0,0,0,0,96
subj08,V2,B1,1,0,0,0,0,0,96
subj08,V2,B1,2,0,0,0,0,0,96
subj08,V2,B1,3,0,0,0,0,0,96
subj08,V3,B0,0,0,0,0,0,0,96
subj08,V3,B0,1,0,0,0,0,0,96
subj08,V3,B0,2,0,0,0,0,0,96
subj08,V3,B0,3,0,0,0,0,0,96
subj08,V3,B1,0,0,0,0,0,0,96
subj08,V3,B1,1,0,0,0,0,0,96
subj08,V3,B1,2,0,0,0,0,0,96
subj08,V3,B1,3,0,0,0,0,0,96
subj08,hV4,B0,0,0,0,0,0,0,96
subj08,hV4,B0,1,0,0,0,0,0,96
subj08,hV4,B0,2,0,0,0,0,0,96
subj08,hV4,B0,3,0,0,0,0,0,96
subj08,hV4,B1,0,0,0,0,0,0,96
subj08,hV4,B1,1,0,0,0,0,0,96
subj08,hV4,B1,2,0,0,0,0,0,96
subj08,hV4,B1,3,0,0,0,0,0,96
subj08,ventral,B0,0,0,0,0,0,0,96
subj08,ventral,B0,1,0,0,0,0,0,96
subj08,ventral,B0,2,0,0,0,0,0,96
subj08,ventral,B0,3,0,0,0,0,0,96
subj08,ventral,B1,0,0,0,0,0,0,96
subj08,ventral,B1,1,0,0,0,0,0,96
subj08,ventral,B1,2,0,0,0,0,0,96
subj08,ventral,B1,3,0,0,0,0,0,96
subj08,lateral,B0,0,0,0,0,0,0,96
subj08,lateral,B0,1,0,0,0,0,0,96
subj08,lateral,B0,2,0,0,0,0,0,96
subj08,lateral,B0,3,0,0,0,0,0,96
subj08,lateral,B1,0,0,0,0,0,0,96
subj08,lateral,B1,1,0,0,0,0,0,96
subj08,lateral,B1,2,0,0,0,0,0,96
subj08,lateral,B1,3,0,0,0,0,0,96
subj08,parietal,B0,0,0,0,0,0,0,96
subj08,parietal,B0,1,0,0,0,0,0,96
subj08,parietal,B0,2,0,0,0,0,0,96
subj08,parietal,B0,3,0,0,0,0,0,96
subj08,parietal,B1,0,0,0,0,0,0,96
subj08,parietal,B1,1,0,0,0,0,0,96
subj08,parietal,B1,2,0,0,0,0,0,96
subj08,parietal,B1,3,0,0,0,0,0,96
